Starting job 1 at Mo 10. Feb 00:03:44 CET 2025
Configuration: dataset=all_domains_all_samples prompt=markdown_fact_first_few_shot_structured train=markdown_fact_first_few_shot_structured ++train.training_args.per_device_train_batch_size=8 ++train.training_args.gradient_accumulation_steps=2
[2025-02-10 00:04:10,235][root][INFO] - Global seed set to 314
[2025-02-10 00:04:10,237][root][WARNING] - Quantisation will be done on loaded model, THIS IS A QLORA FINE-TUNING RUN
[2025-02-10 00:04:10,237][root][WARNING] - Following flags are set for the run : 
 Use Quantisation before fine-tuning : True 
 Perform Validation on epoch end : False
[2025-02-10 00:04:10,237][root][INFO] - Running Fine-tuning on the all_domains_all_samples dataset
[2025-02-10 00:04:10,237][root][INFO] - Current training config is : 
 Prompt type : few_shot 
 Response type : fact_first 
 Explanation type : structured 
 Response Format : markdown 
[2025-02-10 00:04:10,237][root][INFO] - Loading dataset from /home/fr/fr_fr/fr_rf1031/bar-llama/dataset/seed_dataset/distilled_dataset.json
[2025-02-10 00:04:10,274][root][INFO] - Dataset loaded successfully, indexing questions...
[2025-02-10 00:04:10,765][root][INFO] - Indexing complete, sampling of questions set to True
[2025-02-10 00:04:10,766][root][INFO] - Questions selected, dataset contains 1512 questions with 216.0 questions per domain
[2025-02-10 00:04:10,798][root][INFO] - Prompt Handler initialized with configuration: {'prompt_type': 'few_shot', 'example_path': '${hydra:runtime.cwd}/prompt/examples/structured_example.json', 'explanation_type': 'structured', 'response_type': 'fact_first', 'response_format': 'markdown', 'store_prompt': True, 'system_prompt': '${hydra:runtime.cwd}/prompt/system_prompt/system_${train.prompt.response_format}_${train.prompt.response_type}_${train.prompt.explanation_type}.txt', 'include_system_prompt': True}
[2025-02-10 00:04:12,077][root][INFO] - Tokenizer meta-llama/Llama-2-7b-hf loaded successfully
[2025-02-10 00:04:41,956][root][INFO] - Quantised model meta-llama/Llama-2-7b-hf loaded successfully
[2025-02-10 00:05:15,818][root][INFO] - Model prepared for kbit training
[2025-02-10 00:05:15,818][root][INFO] - Lora config loaded, following are the details : 
 LoraConfig(peft_type=<PeftType.LORA: 'LORA'>, auto_mapping=None, base_model_name_or_path=None, revision=None, task_type='CAUSAL_LM', inference_mode=False, r=64, target_modules={'q_proj', 'gate_proj', 'k_proj', 'o_proj', 'up_proj', 'down_proj', 'v_proj'}, lora_alpha=32, lora_dropout=0.05, fan_in_fan_out=False, bias='none', use_rslora=False, modules_to_save=None, init_lora_weights=True, layers_to_transform=None, layers_pattern=None, rank_pattern={}, alpha_pattern={}, megatron_config=None, megatron_core='megatron.core', loftq_config={}, use_dora=False, layer_replication=None, runtime_config=LoraRuntimeConfig(ephemeral_gpu_offload=False))
[2025-02-10 00:05:17,518][root][INFO] - Lora adapter added to model
[2025-02-10 00:05:18,939][accelerate.utils.other][WARNING] - Detected kernel version 4.18.0, which is below the recommended minimum of 5.5.0; this can cause the process to hang. It is recommended to upgrade the kernel to the minimum version or higher.
{'loss': 1.4853, 'grad_norm': 0.16349536180496216, 'learning_rate': 5.319148936170213e-06, 'epoch': 0.11}
{'loss': 1.4362, 'grad_norm': 0.17464223504066467, 'learning_rate': 1.0638297872340426e-05, 'epoch': 0.21}
{'loss': 1.3646, 'grad_norm': 0.18495726585388184, 'learning_rate': 1.595744680851064e-05, 'epoch': 0.32}
{'loss': 1.2066, 'grad_norm': 0.22787094116210938, 'learning_rate': 2.1276595744680852e-05, 'epoch': 0.42}
{'loss': 0.9328, 'grad_norm': 0.2630007565021515, 'learning_rate': 2.6595744680851064e-05, 'epoch': 0.53}
{'loss': 0.5942, 'grad_norm': 0.20605799555778503, 'learning_rate': 3.191489361702128e-05, 'epoch': 0.63}
{'loss': 0.4164, 'grad_norm': 0.09182214736938477, 'learning_rate': 3.723404255319149e-05, 'epoch': 0.74}
{'loss': 0.3893, 'grad_norm': 0.07127238810062408, 'learning_rate': 4.2553191489361704e-05, 'epoch': 0.85}
{'loss': 0.3674, 'grad_norm': 0.06000138074159622, 'learning_rate': 4.787234042553192e-05, 'epoch': 0.95}
{'loss': 0.3825, 'grad_norm': 0.05273053050041199, 'learning_rate': 5.319148936170213e-05, 'epoch': 1.06}
{'loss': 0.3549, 'grad_norm': 0.042749807238578796, 'learning_rate': 5.851063829787234e-05, 'epoch': 1.16}
{'loss': 0.3543, 'grad_norm': 0.044161077588796616, 'learning_rate': 6.382978723404256e-05, 'epoch': 1.27}
{'loss': 0.3514, 'grad_norm': 0.04219568520784378, 'learning_rate': 6.914893617021277e-05, 'epoch': 1.38}
{'loss': 0.3569, 'grad_norm': 0.04142233356833458, 'learning_rate': 7.446808510638298e-05, 'epoch': 1.48}
{'loss': 0.3477, 'grad_norm': 0.04396314173936844, 'learning_rate': 7.978723404255319e-05, 'epoch': 1.59}
{'loss': 0.3317, 'grad_norm': 0.04490679129958153, 'learning_rate': 8.510638297872341e-05, 'epoch': 1.69}
{'loss': 0.3471, 'grad_norm': 0.044402267783880234, 'learning_rate': 9.042553191489363e-05, 'epoch': 1.8}
{'loss': 0.3381, 'grad_norm': 0.04793030396103859, 'learning_rate': 9.574468085106384e-05, 'epoch': 1.9}
{'loss': 0.3527, 'grad_norm': 0.04825042560696602, 'learning_rate': 9.999965525456118e-05, 'epoch': 2.01}
{'loss': 0.3261, 'grad_norm': 0.0578799694776535, 'learning_rate': 9.998758966336295e-05, 'epoch': 2.12}
{'loss': 0.3229, 'grad_norm': 0.05793089047074318, 'learning_rate': 9.995829155390612e-05, 'epoch': 2.22}
{'loss': 0.3193, 'grad_norm': 0.057275980710983276, 'learning_rate': 9.991177102630174e-05, 'epoch': 2.33}
{'loss': 0.3116, 'grad_norm': 0.07023053616285324, 'learning_rate': 9.984804411784716e-05, 'epoch': 2.43}
{'loss': 0.3203, 'grad_norm': 0.06756482273340225, 'learning_rate': 9.976713279749755e-05, 'epoch': 2.54}
{'loss': 0.3173, 'grad_norm': 0.06263811141252518, 'learning_rate': 9.96690649582922e-05, 'epoch': 2.65}
{'loss': 0.3159, 'grad_norm': 0.07953676581382751, 'learning_rate': 9.9553874407739e-05, 'epoch': 2.75}
{'loss': 0.3078, 'grad_norm': 0.07564370334148407, 'learning_rate': 9.942160085615962e-05, 'epoch': 2.86}
{'loss': 0.3091, 'grad_norm': 0.08361504971981049, 'learning_rate': 9.9272289903e-05, 'epoch': 2.96}
{'loss': 0.3048, 'grad_norm': 0.1047772467136383, 'learning_rate': 9.910599302111057e-05, 'epoch': 3.07}
{'loss': 0.2658, 'grad_norm': 0.1135416254401207, 'learning_rate': 9.892276753900174e-05, 'epoch': 3.17}
{'loss': 0.2755, 'grad_norm': 0.11137527972459793, 'learning_rate': 9.872267662108064e-05, 'epoch': 3.28}
{'loss': 0.2644, 'grad_norm': 0.1461009681224823, 'learning_rate': 9.850578924587614e-05, 'epoch': 3.39}
{'loss': 0.2732, 'grad_norm': 0.12591391801834106, 'learning_rate': 9.827218018225945e-05, 'epoch': 3.49}
{'loss': 0.2734, 'grad_norm': 0.11671074479818344, 'learning_rate': 9.802192996366857e-05, 'epoch': 3.6}
{'loss': 0.2591, 'grad_norm': 0.11554291844367981, 'learning_rate': 9.775512486034563e-05, 'epoch': 3.7}
{'loss': 0.2638, 'grad_norm': 0.10658764094114304, 'learning_rate': 9.747185684959626e-05, 'epoch': 3.81}
{'loss': 0.2673, 'grad_norm': 0.11279333382844925, 'learning_rate': 9.717222358408187e-05, 'epoch': 3.92}
{'loss': 0.2563, 'grad_norm': 0.1280146986246109, 'learning_rate': 9.685632835815518e-05, 'epoch': 4.02}
{'loss': 0.2157, 'grad_norm': 0.14563950896263123, 'learning_rate': 9.6524280072251e-05, 'epoch': 4.13}
{'loss': 0.2181, 'grad_norm': 0.14497700333595276, 'learning_rate': 9.617619319534428e-05, 'epoch': 4.23}
{'loss': 0.2127, 'grad_norm': 0.14831289649009705, 'learning_rate': 9.581218772548859e-05, 'epoch': 4.34}
{'loss': 0.2165, 'grad_norm': 0.16368475556373596, 'learning_rate': 9.543238914844843e-05, 'epoch': 4.44}
{'loss': 0.2064, 'grad_norm': 0.15123021602630615, 'learning_rate': 9.503692839443987e-05, 'epoch': 4.55}
{'loss': 0.2073, 'grad_norm': 0.14235465228557587, 'learning_rate': 9.462594179299406e-05, 'epoch': 4.66}
{'loss': 0.2088, 'grad_norm': 0.17411987483501434, 'learning_rate': 9.419957102595968e-05, 'epoch': 4.76}
{'loss': 0.2104, 'grad_norm': 0.1403537541627884, 'learning_rate': 9.375796307866002e-05, 'epoch': 4.87}
{'loss': 0.217, 'grad_norm': 0.1348058134317398, 'learning_rate': 9.330127018922194e-05, 'epoch': 4.97}
{'loss': 0.1812, 'grad_norm': 0.1581907868385315, 'learning_rate': 9.282964979609379e-05, 'epoch': 5.08}
