model_name,seed,training_status,quantisation_status,training_dataset,num_training_samples,num_training_domains,randomised_training_samples,generation_strategy,prompt_type,explanation_type,response_type,response_format,evaluation_dataset,label_accuracy,misclassification_rate,combined_accuracy,malformed_label,malformed_domain,total_predictions,correct_predictions,correct_label_and_domain,Constitutional_Law_accuracy,Contracts_accuracy,Criminal_Law_accuracy,Evidence_accuracy,Real_Property_accuracy,Torts_accuracy,Civil_Procedure_accuracy,Constitutional_Law_confidence,Contracts_confidence,Criminal_Law_confidence,Evidence_confidence,Real_Property_confidence,Torts_confidence,Civil_Procedure_confidence,correct_domain_wrong_label,correct_label_wrong_domain,both_wrong
llama2,seed_21,trained,full_model,all_domains_1_samples,1,"[""all""]",True,temp_06,few_shot,structured,answer_first,json,test_set_1,0.23232323232323232,0.7676767676767677,0.12121212121212122,0,47,99,23,12,0.21428571428571427,0.0,0.46153846153846156,0.0,0.0,0.15384615384615385,0.0625,0.15151515151515152,0.0,0.16161616161616163,0.08080808080808081,0.06060606060606061,0.15151515151515152,0.020202020202020204,40,11,36
llama2,seed_21,trained,full_model,all_domains_1_samples,1,"[""all""]",True,temp_06,few_shot,structured,answer_first,json,test_set_2,0.31,0.69,0.16,0,51,100,31,16,0.35714285714285715,0.0,0.35714285714285715,0.13333333333333333,0.06666666666666667,0.21428571428571427,0.0,0.13,0.0,0.18,0.09,0.05,0.12,0.01,33,15,36
llama2,seed_21,trained,full_model,all_domains_10_samples,10,"[""all""]",True,temp_06,few_shot,structured,answer_first,json,test_set_1,0.30303030303030304,0.696969696969697,0.2828282828282828,0,8,99,30,28,0.21428571428571427,0.42857142857142855,0.3076923076923077,0.26666666666666666,0.2857142857142857,0.3076923076923077,0.1875,0.12121212121212122,0.15151515151515152,0.13131313131313133,0.15151515151515152,0.13131313131313133,0.1717171717171717,0.13131313131313133,63,2,6
llama2,seed_21,trained,full_model,all_domains_10_samples,10,"[""all""]",True,temp_06,few_shot,structured,answer_first,json,test_set_2,0.31,0.69,0.27,0,11,100,31,27,0.07142857142857142,0.5333333333333333,0.5,0.2,0.13333333333333333,0.21428571428571427,0.23076923076923078,0.11,0.19,0.17,0.13,0.11,0.14,0.12,62,4,7
llama2,seed_21,trained,full_model,all_domains_20_samples,20,"[""all""]",True,temp_06,few_shot,structured,answer_first,json,test_set_1,0.3434343434343434,0.6565656565656566,0.32323232323232326,0,9,99,34,32,0.42857142857142855,0.35714285714285715,0.38461538461538464,0.13333333333333333,0.35714285714285715,0.38461538461538464,0.25,0.15151515151515152,0.13131313131313133,0.1111111111111111,0.1414141414141414,0.16161616161616163,0.1414141414141414,0.16161616161616163,58,2,7
llama2,seed_21,trained,full_model,all_domains_20_samples,20,"[""all""]",True,temp_06,few_shot,structured,answer_first,json,test_set_2,0.33,0.6699999999999999,0.29,0,9,100,33,29,0.42857142857142855,0.3333333333333333,0.5,0.26666666666666666,0.13333333333333333,0.14285714285714285,0.23076923076923078,0.15,0.14,0.13,0.14,0.15,0.14,0.12,62,4,5
llama2,seed_21,trained,full_model,all_domains_75_samples,75,"[""all""]",True,temp_06,few_shot,structured,answer_first,json,test_set_1,0.35353535353535354,0.6464646464646464,0.3333333333333333,0,8,99,35,33,0.42857142857142855,0.5,0.46153846153846156,0.13333333333333333,0.35714285714285715,0.38461538461538464,0.125,0.12121212121212122,0.1717171717171717,0.13131313131313133,0.1414141414141414,0.1111111111111111,0.15151515151515152,0.15151515151515152,58,2,6
llama2,seed_21,trained,full_model,all_domains_75_samples,75,"[""all""]",True,temp_06,few_shot,structured,answer_first,json,test_set_2,0.35,0.65,0.31,0,13,100,35,31,0.42857142857142855,0.6,0.42857142857142855,0.26666666666666666,0.13333333333333333,0.07142857142857142,0.23076923076923078,0.14,0.2,0.14,0.16,0.08,0.11,0.1,56,4,9
llama2,seed_21,trained,full_model,all_domains_125_samples,125,"[""all""]",True,temp_06,few_shot,structured,answer_first,json,test_set_1,0.30303030303030304,0.696969696969697,0.30303030303030304,0,4,99,30,30,0.2857142857142857,0.42857142857142855,0.46153846153846156,0.26666666666666666,0.42857142857142855,0.15384615384615385,0.125,0.1414141414141414,0.12121212121212122,0.13131313131313133,0.1414141414141414,0.16161616161616163,0.15151515151515152,0.15151515151515152,65,0,4
llama2,seed_21,trained,full_model,all_domains_125_samples,125,"[""all""]",True,temp_06,few_shot,structured,answer_first,json,test_set_2,0.41,0.5900000000000001,0.39,0,4,100,41,39,0.42857142857142855,0.4666666666666667,0.5,0.5333333333333333,0.3333333333333333,0.21428571428571427,0.23076923076923078,0.13,0.15,0.15,0.15,0.15,0.13,0.13,57,2,2
