model_name,seed,training_status,quantisation_status,training dataset,num_training_samples,num_training_domains,randomised_training_samples,generation_strategy,prompt_type,explanation_type,response_type,response_format,evaluation_dataset,label_accuracy,misclassification_rate,combined_accuracy,malformed_label,malformed_domain,total_predictions,correct_predictions,correct_label_and_domain,Constitutional_Law_accuracy,Contracts_accuracy,Criminal_Law_accuracy,Evidence_accuracy,Real_Property_accuracy,Torts_accuracy,Civil_Procedure_accuracy,Constitutional_Law_confidence,Contracts_confidence,Criminal_Law_confidence,Evidence_confidence,Real_Property_confidence,Torts_confidence,Civil_Procedure_confidence,correct_domain_wrong_label,correct_label_wrong_domain,both_wrong
llama2,seed_206,untrained,full_model,,,,,greedy,few_shot,structured,fact_first,markdown,test_set_1,0.35353535353535354,0.6464646464646464,0.2222222222222222,1,31,99,35,22,0.14285714285714285,0.2857142857142857,0.46153846153846156,0.06666666666666667,0.07142857142857142,0.38461538461538464,0.1875,0.13131313131313133,0.2222222222222222,0.18181818181818182,0.06060606060606061,0.050505050505050504,0.13131313131313133,0.08080808080808081,46,13,18
llama2,seed_206,untrained,full_model,,,,,temp_025,few_shot,structured,fact_first,markdown,test_set_1,0.42424242424242425,0.5757575757575757,0.32323232323232326,1,30,99,42,32,0.14285714285714285,0.35714285714285715,0.5384615384615384,0.2,0.2857142857142857,0.6153846153846154,0.1875,0.1414141414141414,0.21212121212121213,0.16161616161616163,0.08080808080808081,0.04040404040404041,0.1414141414141414,0.09090909090909091,37,10,20
llama2,seed_206,untrained,full_model,,,,,temp_06,few_shot,structured,fact_first,markdown,test_set_1,0.3333333333333333,0.6666666666666667,0.26262626262626265,3,38,99,33,26,0.14285714285714285,0.2857142857142857,0.46153846153846156,0.26666666666666666,0.14285714285714285,0.38461538461538464,0.1875,0.1414141414141414,0.13131313131313133,0.1717171717171717,0.0707070707070707,0.04040404040404041,0.13131313131313133,0.08080808080808081,35,7,31
llama2,seed_206,untrained,full_model,,,,,greedy,few_shot,structured,fact_first,markdown,test_set_2,0.36,0.64,0.25,2,33,100,36,25,0.5,0.4666666666666667,0.35714285714285715,0.06666666666666667,0.06666666666666667,0.21428571428571427,0.07692307692307693,0.12,0.22,0.22,0.05,0.03,0.13,0.07,42,11,22
llama2,seed_206,untrained,full_model,,,,,temp_025,few_shot,structured,fact_first,markdown,test_set_2,0.34,0.6599999999999999,0.21,5,37,100,34,21,0.35714285714285715,0.26666666666666666,0.35714285714285715,0.13333333333333333,0.06666666666666667,0.14285714285714285,0.15384615384615385,0.13,0.17,0.21,0.05,0.03,0.15,0.05,42,13,24
llama2,seed_206,untrained,full_model,,,,,temp_06,few_shot,structured,fact_first,markdown,test_set_2,0.25,0.75,0.13,1,42,100,25,13,0.35714285714285715,0.13333333333333333,0.07142857142857142,0.06666666666666667,0.0,0.14285714285714285,0.15384615384615385,0.14,0.13,0.2,0.04,0.03,0.14,0.04,45,12,30
llama3,seed_3991,trained,full_model,all_domains_1_samples,1,"[""all""]",True,greedy,few_shot,structured,answer_first,markdown,test_set_1,0.48484848484848486,0.5151515151515151,0.32323232323232326,0,35,99,48,32,0.42857142857142855,0.07142857142857142,0.3076923076923077,0.5333333333333333,0.5,0.38461538461538464,0.0625,0.1414141414141414,0.030303030303030304,0.09090909090909091,0.1414141414141414,0.12121212121212122,0.13131313131313133,0.020202020202020204,32,16,19
llama3,seed_3991,trained,full_model,all_domains_1_samples,1,"[""all""]",True,greedy,few_shot,unstructured,answer_first,markdown,test_set_1,0.48484848484848486,0.5151515151515151,0.3434343434343434,0,26,99,48,34,0.5,0.35714285714285715,0.23076923076923078,0.4666666666666667,0.5714285714285714,0.3076923076923077,0.0,0.1414141414141414,0.15151515151515152,0.1111111111111111,0.1414141414141414,0.13131313131313133,0.12121212121212122,0.010101010101010102,39,14,12
llama3,seed_3991,trained,full_model,all_domains_1_samples,1,"[""all""]",True,temp_09,few_shot,unstructured,answer_first,markdown,test_set_1,0.494949494949495,0.505050505050505,0.3333333333333333,0,33,99,49,33,0.35714285714285715,0.14285714285714285,0.5384615384615384,0.5333333333333333,0.42857142857142855,0.3076923076923077,0.0625,0.1111111111111111,0.09090909090909091,0.1111111111111111,0.1414141414141414,0.10101010101010101,0.12121212121212122,0.020202020202020204,33,16,17
llama3,seed_3991,trained,full_model,all_domains_10_samples,10,"[""all""]",True,temp_025,few_shot,unstructured,answer_first,markdown,test_set_1,0.494949494949495,0.505050505050505,0.48484848484848486,1,4,99,49,48,0.5714285714285714,0.35714285714285715,0.6153846153846154,0.5333333333333333,0.5714285714285714,0.38461538461538464,0.375,0.15151515151515152,0.1414141414141414,0.13131313131313133,0.1414141414141414,0.1414141414141414,0.1414141414141414,0.1414141414141414,47,1,3
