Running configuration: 
[2025-01-11 21:24:42,130][root][INFO] - Global seed set to 21
[2025-01-11 21:24:42,130][root][WARNING] - No quantisation will be done on loaded model, THIS IS A LORA FINE-TUNING RUN
[2025-01-11 21:24:42,130][root][WARNING] - Following flags are set for the run : 
 Use Quantisation before fine-tuning : False 
 Perform Validation on epoch end : False
[2025-01-11 21:24:42,130][root][INFO] - Running Fine-tuning on the all_domains_all_samples dataset
[2025-01-11 21:24:42,130][root][INFO] - Current training config is : 
 Prompt type : few_shot 
 Response type : answer_first 
 Explanation type : structured 
 Response Format : json 
[2025-01-11 21:24:50,677][root][INFO] - Loading dataset from /work/dlclarge1/fernandr-thesis_workspace/bar-llama/dataset/seed_dataset/distilled_dataset.json
[2025-01-11 21:24:50,692][root][INFO] - Dataset loaded successfully, indexing questions...
[2025-01-11 21:24:50,695][root][INFO] - Indexing complete, sampling of questions set to True
[2025-01-11 21:24:50,695][root][INFO] - Questions selected, dataset contains 1523 questions with 217.57142857142858 questions per domain
[2025-01-11 21:24:50,697][root][INFO] - Prompt Handler initialized with configuration: {'prompt_type': 'few_shot', 'example_path': '${hydra:runtime.cwd}/prompt/examples/structured_example.json', 'explanation_type': 'structured', 'response_type': 'answer_first', 'response_format': 'json', 'store_prompt': True, 'system_prompt': '${hydra:runtime.cwd}/prompt/system_prompt/system_${train.prompt.response_format}_${train.prompt.response_type}_${train.prompt.explanation_type}.txt', 'include_system_prompt': True}
The token has not been saved to the git credentials helper. Pass `add_to_git_credential=True` in this function directly or `--add-to-git-credential` if using via `huggingface-cli` if you want to set the git credential as well.
Token is valid (permission: write).
Your token has been saved to /home/fernandr/.cache/huggingface/token
Login successful
[2025-01-11 21:24:51,142][root][INFO] - Tokenizer meta-llama/Llama-2-7b-hf loaded successfully
[2025-01-11 21:24:53,822][root][INFO] - Model meta-llama/Llama-2-7b-hf loaded successfully
[2025-01-11 21:24:56,053][root][INFO] - Lora config loaded, following are the details : 
 LoraConfig(peft_type=<PeftType.LORA: 'LORA'>, auto_mapping=None, base_model_name_or_path=None, revision=None, task_type='CAUSAL_LM', inference_mode=False, r=128, target_modules={'k_proj', 'v_proj', 'gate_proj', 'up_proj', 'down_proj', 'q_proj', 'o_proj'}, lora_alpha=16, lora_dropout=0.5, fan_in_fan_out=False, bias='none', use_rslora=False, modules_to_save=None, init_lora_weights=True, layers_to_transform=None, layers_pattern=None, rank_pattern={}, alpha_pattern={}, megatron_config=None, megatron_core='megatron.core', loftq_config={}, use_dora=False, layer_replication=None)
[2025-01-11 21:24:58,428][root][INFO] - Lora adapter added to model
{'loss': 1.1202, 'grad_norm': 0.11350955069065094, 'learning_rate': 0.0002, 'epoch': 0.01}
{'loss': 0.6197, 'grad_norm': 0.10020332038402557, 'learning_rate': 0.0002, 'epoch': 0.01}
{'loss': 0.4432, 'grad_norm': 0.10643423348665237, 'learning_rate': 0.0002, 'epoch': 0.02}
{'loss': 0.415, 'grad_norm': 0.06760994344949722, 'learning_rate': 0.0002, 'epoch': 0.03}
{'loss': 0.3706, 'grad_norm': 0.07033101469278336, 'learning_rate': 0.0002, 'epoch': 0.03}
{'loss': 0.6106, 'grad_norm': 0.0788198709487915, 'learning_rate': 0.0002, 'epoch': 0.04}
{'loss': 0.4705, 'grad_norm': 0.07264823466539383, 'learning_rate': 0.0002, 'epoch': 0.05}
{'loss': 0.4648, 'grad_norm': 0.07208371162414551, 'learning_rate': 0.0002, 'epoch': 0.05}
{'loss': 0.3707, 'grad_norm': 0.06208450347185135, 'learning_rate': 0.0002, 'epoch': 0.06}
{'loss': 0.3331, 'grad_norm': 0.06954494118690491, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 0.5083, 'grad_norm': 0.07530307024717331, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 0.4733, 'grad_norm': 0.06705734878778458, 'learning_rate': 0.0002, 'epoch': 0.08}
{'loss': 0.4244, 'grad_norm': 0.06293535232543945, 'learning_rate': 0.0002, 'epoch': 0.09}
{'loss': 0.3573, 'grad_norm': 0.0732923373579979, 'learning_rate': 0.0002, 'epoch': 0.09}
{'loss': 0.2987, 'grad_norm': 0.06525760889053345, 'learning_rate': 0.0002, 'epoch': 0.1}
{'loss': 0.5385, 'grad_norm': 0.0634080097079277, 'learning_rate': 0.0002, 'epoch': 0.11}
{'loss': 0.5155, 'grad_norm': 0.07135514914989471, 'learning_rate': 0.0002, 'epoch': 0.11}
{'loss': 0.4205, 'grad_norm': 0.06886623054742813, 'learning_rate': 0.0002, 'epoch': 0.12}
{'loss': 0.3977, 'grad_norm': 0.06930609047412872, 'learning_rate': 0.0002, 'epoch': 0.12}
{'loss': 0.2968, 'grad_norm': 0.06800294667482376, 'learning_rate': 0.0002, 'epoch': 0.13}
{'loss': 0.5313, 'grad_norm': 0.0652446523308754, 'learning_rate': 0.0002, 'epoch': 0.14}
{'loss': 0.4336, 'grad_norm': 0.05597284436225891, 'learning_rate': 0.0002, 'epoch': 0.14}
{'loss': 0.4335, 'grad_norm': 0.05667112395167351, 'learning_rate': 0.0002, 'epoch': 0.15}
{'loss': 0.3947, 'grad_norm': 0.06293559074401855, 'learning_rate': 0.0002, 'epoch': 0.16}
{'loss': 0.2986, 'grad_norm': 0.05716547742486, 'learning_rate': 0.0002, 'epoch': 0.16}
