Running configuration: 
[2025-01-12 02:19:36,211][root][INFO] - Global seed set to 21
[2025-01-12 02:19:36,211][root][WARNING] - No quantisation will be done on loaded model, THIS IS A LORA FINE-TUNING RUN
[2025-01-12 02:19:36,211][root][WARNING] - Following flags are set for the run : 
 Use Quantisation before fine-tuning : False 
 Perform Validation on epoch end : False
[2025-01-12 02:19:36,211][root][INFO] - Running Fine-tuning on the all_domains_all_samples dataset
[2025-01-12 02:19:36,211][root][INFO] - Current training config is : 
 Prompt type : few_shot 
 Response type : answer_first 
 Explanation type : structured 
 Response Format : json 
[2025-01-12 02:19:45,208][root][INFO] - Loading dataset from /work/dlclarge1/fernandr-thesis_workspace/bar-llama/dataset/seed_dataset/distilled_dataset.json
[2025-01-12 02:19:45,224][root][INFO] - Dataset loaded successfully, indexing questions...
[2025-01-12 02:19:45,226][root][INFO] - Indexing complete, sampling of questions set to True
[2025-01-12 02:19:45,226][root][INFO] - Questions selected, dataset contains 1523 questions with 217.57142857142858 questions per domain
[2025-01-12 02:19:45,230][root][INFO] - Prompt Handler initialized with configuration: {'prompt_type': 'few_shot', 'example_path': '${hydra:runtime.cwd}/prompt/examples/structured_example.json', 'explanation_type': 'structured', 'response_type': 'answer_first', 'response_format': 'json', 'store_prompt': True, 'system_prompt': '${hydra:runtime.cwd}/prompt/system_prompt/system_${train.prompt.response_format}_${train.prompt.response_type}_${train.prompt.explanation_type}.txt', 'include_system_prompt': True}
The token has not been saved to the git credentials helper. Pass `add_to_git_credential=True` in this function directly or `--add-to-git-credential` if using via `huggingface-cli` if you want to set the git credential as well.
Token is valid (permission: write).
Your token has been saved to /home/fernandr/.cache/huggingface/token
Login successful
[2025-01-12 02:19:45,663][root][INFO] - Tokenizer meta-llama/Llama-2-7b-hf loaded successfully
[2025-01-12 02:19:48,205][root][INFO] - Model meta-llama/Llama-2-7b-hf loaded successfully
[2025-01-12 02:19:50,471][root][INFO] - Lora config loaded, following are the details : 
 LoraConfig(peft_type=<PeftType.LORA: 'LORA'>, auto_mapping=None, base_model_name_or_path=None, revision=None, task_type='CAUSAL_LM', inference_mode=False, r=128, target_modules={'v_proj', 'k_proj', 'o_proj', 'up_proj', 'q_proj', 'down_proj', 'gate_proj'}, lora_alpha=16, lora_dropout=0.5, fan_in_fan_out=False, bias='none', use_rslora=False, modules_to_save=None, init_lora_weights=True, layers_to_transform=None, layers_pattern=None, rank_pattern={}, alpha_pattern={}, megatron_config=None, megatron_core='megatron.core', loftq_config={}, use_dora=False, layer_replication=None)
[2025-01-12 02:19:52,894][root][INFO] - Lora adapter added to model
{'loss': 1.1202, 'grad_norm': 0.11350950598716736, 'learning_rate': 0.0002, 'epoch': 0.01}
{'loss': 0.6197, 'grad_norm': 0.10020311176776886, 'learning_rate': 0.0002, 'epoch': 0.01}
{'loss': 0.4432, 'grad_norm': 0.1064343973994255, 'learning_rate': 0.0002, 'epoch': 0.02}
{'loss': 0.415, 'grad_norm': 0.06761180609464645, 'learning_rate': 0.0002, 'epoch': 0.03}
{'loss': 0.3706, 'grad_norm': 0.07033633440732956, 'learning_rate': 0.0002, 'epoch': 0.03}
{'loss': 0.6106, 'grad_norm': 0.078814797103405, 'learning_rate': 0.0002, 'epoch': 0.04}
{'loss': 0.4705, 'grad_norm': 0.07242736965417862, 'learning_rate': 0.0002, 'epoch': 0.05}
{'loss': 0.4647, 'grad_norm': 0.07068325579166412, 'learning_rate': 0.0002, 'epoch': 0.05}
{'loss': 0.3707, 'grad_norm': 0.06175650283694267, 'learning_rate': 0.0002, 'epoch': 0.06}
{'loss': 0.3329, 'grad_norm': 0.07016827911138535, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 0.5078, 'grad_norm': 0.07231833040714264, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 0.4737, 'grad_norm': 0.06696842610836029, 'learning_rate': 0.0002, 'epoch': 0.08}
{'loss': 0.4244, 'grad_norm': 0.062115881592035294, 'learning_rate': 0.0002, 'epoch': 0.09}
{'loss': 0.3579, 'grad_norm': 0.07540479302406311, 'learning_rate': 0.0002, 'epoch': 0.09}
{'loss': 0.2982, 'grad_norm': 0.06343011558055878, 'learning_rate': 0.0002, 'epoch': 0.1}
{'loss': 0.5385, 'grad_norm': 0.06256362050771713, 'learning_rate': 0.0002, 'epoch': 0.11}
{'loss': 0.5151, 'grad_norm': 0.07558119297027588, 'learning_rate': 0.0002, 'epoch': 0.11}
{'loss': 0.4201, 'grad_norm': 0.06953255832195282, 'learning_rate': 0.0002, 'epoch': 0.12}
{'loss': 0.398, 'grad_norm': 0.06944482773542404, 'learning_rate': 0.0002, 'epoch': 0.12}
{'loss': 0.2971, 'grad_norm': 0.06759858131408691, 'learning_rate': 0.0002, 'epoch': 0.13}
{'loss': 0.5313, 'grad_norm': 0.06574466824531555, 'learning_rate': 0.0002, 'epoch': 0.14}
{'loss': 0.4342, 'grad_norm': 0.056199152022600174, 'learning_rate': 0.0002, 'epoch': 0.14}
{'loss': 0.4339, 'grad_norm': 0.05681273341178894, 'learning_rate': 0.0002, 'epoch': 0.15}
{'loss': 0.3946, 'grad_norm': 0.06295763701200485, 'learning_rate': 0.0002, 'epoch': 0.16}
{'loss': 0.2985, 'grad_norm': 0.056808989495038986, 'learning_rate': 0.0002, 'epoch': 0.16}
