Running configuration: 
[2025-01-12 02:24:28,146][root][INFO] - Global seed set to 21
[2025-01-12 02:24:28,147][root][WARNING] - No quantisation will be done on loaded model, THIS IS A LORA FINE-TUNING RUN
[2025-01-12 02:24:28,147][root][WARNING] - Following flags are set for the run : 
 Use Quantisation before fine-tuning : False 
 Perform Validation on epoch end : False
[2025-01-12 02:24:28,147][root][INFO] - Running Fine-tuning on the all_domains_all_samples dataset
[2025-01-12 02:24:28,147][root][INFO] - Current training config is : 
 Prompt type : few_shot 
 Response type : answer_first 
 Explanation type : structured 
 Response Format : json 
[2025-01-12 02:24:37,488][root][INFO] - Loading dataset from /work/dlclarge1/fernandr-thesis_workspace/bar-llama/dataset/seed_dataset/distilled_dataset.json
[2025-01-12 02:24:37,503][root][INFO] - Dataset loaded successfully, indexing questions...
[2025-01-12 02:24:37,506][root][INFO] - Indexing complete, sampling of questions set to True
[2025-01-12 02:24:37,506][root][INFO] - Questions selected, dataset contains 1523 questions with 217.57142857142858 questions per domain
[2025-01-12 02:24:37,509][root][INFO] - Prompt Handler initialized with configuration: {'prompt_type': 'few_shot', 'example_path': '${hydra:runtime.cwd}/prompt/examples/structured_example.json', 'explanation_type': 'structured', 'response_type': 'answer_first', 'response_format': 'json', 'store_prompt': True, 'system_prompt': '${hydra:runtime.cwd}/prompt/system_prompt/system_${train.prompt.response_format}_${train.prompt.response_type}_${train.prompt.explanation_type}.txt', 'include_system_prompt': True}
The token has not been saved to the git credentials helper. Pass `add_to_git_credential=True` in this function directly or `--add-to-git-credential` if using via `huggingface-cli` if you want to set the git credential as well.
Token is valid (permission: write).
Your token has been saved to /home/fernandr/.cache/huggingface/token
Login successful
[2025-01-12 02:24:37,960][root][INFO] - Tokenizer meta-llama/Llama-2-7b-hf loaded successfully
[2025-01-12 02:24:40,541][root][INFO] - Model meta-llama/Llama-2-7b-hf loaded successfully
[2025-01-12 02:24:42,807][root][INFO] - Lora config loaded, following are the details : 
 LoraConfig(peft_type=<PeftType.LORA: 'LORA'>, auto_mapping=None, base_model_name_or_path=None, revision=None, task_type='CAUSAL_LM', inference_mode=False, r=128, target_modules={'up_proj', 'v_proj', 'o_proj', 'gate_proj', 'k_proj', 'down_proj', 'q_proj'}, lora_alpha=16, lora_dropout=0.5, fan_in_fan_out=False, bias='none', use_rslora=False, modules_to_save=None, init_lora_weights=True, layers_to_transform=None, layers_pattern=None, rank_pattern={}, alpha_pattern={}, megatron_config=None, megatron_core='megatron.core', loftq_config={}, use_dora=False, layer_replication=None)
[2025-01-12 02:24:45,248][root][INFO] - Lora adapter added to model
{'loss': 1.1202, 'grad_norm': 0.11350950598716736, 'learning_rate': 0.0002, 'epoch': 0.01}
{'loss': 0.6197, 'grad_norm': 0.10020341724157333, 'learning_rate': 0.0002, 'epoch': 0.01}
{'loss': 0.4432, 'grad_norm': 0.10643436759710312, 'learning_rate': 0.0002, 'epoch': 0.02}
{'loss': 0.415, 'grad_norm': 0.06760898232460022, 'learning_rate': 0.0002, 'epoch': 0.03}
{'loss': 0.3706, 'grad_norm': 0.07032916694879532, 'learning_rate': 0.0002, 'epoch': 0.03}
{'loss': 0.6106, 'grad_norm': 0.07883113622665405, 'learning_rate': 0.0002, 'epoch': 0.04}
{'loss': 0.4705, 'grad_norm': 0.07198808342218399, 'learning_rate': 0.0002, 'epoch': 0.05}
{'loss': 0.4647, 'grad_norm': 0.0704696923494339, 'learning_rate': 0.0002, 'epoch': 0.05}
{'loss': 0.3709, 'grad_norm': 0.061283424496650696, 'learning_rate': 0.0002, 'epoch': 0.06}
{'loss': 0.3328, 'grad_norm': 0.07021506875753403, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 0.5076, 'grad_norm': 0.07093584537506104, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 0.4742, 'grad_norm': 0.06606917828321457, 'learning_rate': 0.0002, 'epoch': 0.08}
{'loss': 0.4243, 'grad_norm': 0.06310079246759415, 'learning_rate': 0.0002, 'epoch': 0.09}
{'loss': 0.3572, 'grad_norm': 0.07299889624118805, 'learning_rate': 0.0002, 'epoch': 0.09}
{'loss': 0.2983, 'grad_norm': 0.064413882791996, 'learning_rate': 0.0002, 'epoch': 0.1}
{'loss': 0.5389, 'grad_norm': 0.06246694177389145, 'learning_rate': 0.0002, 'epoch': 0.11}
{'loss': 0.5154, 'grad_norm': 0.07805920392274857, 'learning_rate': 0.0002, 'epoch': 0.11}
{'loss': 0.4206, 'grad_norm': 0.06858891993761063, 'learning_rate': 0.0002, 'epoch': 0.12}
{'loss': 0.3978, 'grad_norm': 0.06893101334571838, 'learning_rate': 0.0002, 'epoch': 0.12}
{'loss': 0.2969, 'grad_norm': 0.06827206164598465, 'learning_rate': 0.0002, 'epoch': 0.13}
{'loss': 0.531, 'grad_norm': 0.06505496054887772, 'learning_rate': 0.0002, 'epoch': 0.14}
{'loss': 0.4339, 'grad_norm': 0.055615052580833435, 'learning_rate': 0.0002, 'epoch': 0.14}
{'loss': 0.4338, 'grad_norm': 0.05669902637600899, 'learning_rate': 0.0002, 'epoch': 0.15}
{'loss': 0.3945, 'grad_norm': 0.06296221911907196, 'learning_rate': 0.0002, 'epoch': 0.16}
{'loss': 0.2985, 'grad_norm': 0.056670837104320526, 'learning_rate': 0.0002, 'epoch': 0.16}
{'loss': 0.5645, 'grad_norm': 0.06687828153371811, 'learning_rate': 0.0002, 'epoch': 0.17}
{'loss': 0.4786, 'grad_norm': 0.06648828834295273, 'learning_rate': 0.0002, 'epoch': 0.18}
{'loss': 0.404, 'grad_norm': 0.08005913347005844, 'learning_rate': 0.0002, 'epoch': 0.18}
{'loss': 0.3689, 'grad_norm': 0.060758549720048904, 'learning_rate': 0.0002, 'epoch': 0.19}
{'loss': 0.3097, 'grad_norm': 0.05945194512605667, 'learning_rate': 0.0002, 'epoch': 0.2}
{'loss': 0.5512, 'grad_norm': 0.06757566332817078, 'learning_rate': 0.0002, 'epoch': 0.2}
{'loss': 0.4313, 'grad_norm': 0.07086680829524994, 'learning_rate': 0.0002, 'epoch': 0.21}
{'loss': 0.4021, 'grad_norm': 0.07826060801744461, 'learning_rate': 0.0002, 'epoch': 0.22}
{'loss': 0.3648, 'grad_norm': 0.07608941197395325, 'learning_rate': 0.0002, 'epoch': 0.22}
{'loss': 0.2792, 'grad_norm': 0.05855346843600273, 'learning_rate': 0.0002, 'epoch': 0.23}
{'loss': 0.5569, 'grad_norm': 0.07586237788200378, 'learning_rate': 0.0002, 'epoch': 0.24}
{'loss': 0.4787, 'grad_norm': 0.06839533895254135, 'learning_rate': 0.0002, 'epoch': 0.24}
{'loss': 0.3715, 'grad_norm': 0.055687613785266876, 'learning_rate': 0.0002, 'epoch': 0.25}
