Running configuration: 
[2025-01-12 02:26:02,846][root][INFO] - Global seed set to 21
[2025-01-12 02:26:02,846][root][WARNING] - No quantisation will be done on loaded model, THIS IS A LORA FINE-TUNING RUN
[2025-01-12 02:26:02,846][root][WARNING] - Following flags are set for the run : 
 Use Quantisation before fine-tuning : False 
 Perform Validation on epoch end : False
[2025-01-12 02:26:02,846][root][INFO] - Running Fine-tuning on the all_domains_all_samples dataset
[2025-01-12 02:26:02,846][root][INFO] - Current training config is : 
 Prompt type : few_shot 
 Response type : answer_first 
 Explanation type : structured 
 Response Format : json 
[2025-01-12 02:26:11,726][root][INFO] - Loading dataset from /work/dlclarge1/fernandr-thesis_workspace/bar-llama/dataset/seed_dataset/distilled_dataset.json
[2025-01-12 02:26:11,740][root][INFO] - Dataset loaded successfully, indexing questions...
[2025-01-12 02:26:11,744][root][INFO] - Indexing complete, sampling of questions set to True
[2025-01-12 02:26:11,744][root][INFO] - Questions selected, dataset contains 1523 questions with 217.57142857142858 questions per domain
[2025-01-12 02:26:11,748][root][INFO] - Prompt Handler initialized with configuration: {'prompt_type': 'few_shot', 'example_path': '${hydra:runtime.cwd}/prompt/examples/structured_example.json', 'explanation_type': 'structured', 'response_type': 'answer_first', 'response_format': 'json', 'store_prompt': True, 'system_prompt': '${hydra:runtime.cwd}/prompt/system_prompt/system_${train.prompt.response_format}_${train.prompt.response_type}_${train.prompt.explanation_type}.txt', 'include_system_prompt': True}
The token has not been saved to the git credentials helper. Pass `add_to_git_credential=True` in this function directly or `--add-to-git-credential` if using via `huggingface-cli` if you want to set the git credential as well.
Token is valid (permission: write).
Your token has been saved to /home/fernandr/.cache/huggingface/token
Login successful
[2025-01-12 02:26:12,192][root][INFO] - Tokenizer meta-llama/Llama-2-7b-hf loaded successfully
[2025-01-12 02:26:14,736][root][INFO] - Model meta-llama/Llama-2-7b-hf loaded successfully
[2025-01-12 02:26:16,994][root][INFO] - Lora config loaded, following are the details : 
 LoraConfig(peft_type=<PeftType.LORA: 'LORA'>, auto_mapping=None, base_model_name_or_path=None, revision=None, task_type='CAUSAL_LM', inference_mode=False, r=128, target_modules={'k_proj', 'q_proj', 'up_proj', 'o_proj', 'gate_proj', 'down_proj', 'v_proj'}, lora_alpha=16, lora_dropout=0.5, fan_in_fan_out=False, bias='none', use_rslora=False, modules_to_save=None, init_lora_weights=True, layers_to_transform=None, layers_pattern=None, rank_pattern={}, alpha_pattern={}, megatron_config=None, megatron_core='megatron.core', loftq_config={}, use_dora=False, layer_replication=None)
[2025-01-12 02:26:19,437][root][INFO] - Lora adapter added to model
{'loss': 1.1202, 'grad_norm': 0.11350955814123154, 'learning_rate': 0.0002, 'epoch': 0.01}
{'loss': 0.6197, 'grad_norm': 0.10020357370376587, 'learning_rate': 0.0002, 'epoch': 0.01}
{'loss': 0.4432, 'grad_norm': 0.10643406212329865, 'learning_rate': 0.0002, 'epoch': 0.02}
{'loss': 0.415, 'grad_norm': 0.06761253625154495, 'learning_rate': 0.0002, 'epoch': 0.03}
{'loss': 0.3706, 'grad_norm': 0.07033772021532059, 'learning_rate': 0.0002, 'epoch': 0.03}
{'loss': 0.6107, 'grad_norm': 0.07885683327913284, 'learning_rate': 0.0002, 'epoch': 0.04}
{'loss': 0.4705, 'grad_norm': 0.0724337175488472, 'learning_rate': 0.0002, 'epoch': 0.05}
{'loss': 0.4647, 'grad_norm': 0.07064644992351532, 'learning_rate': 0.0002, 'epoch': 0.05}
{'loss': 0.3707, 'grad_norm': 0.0618378147482872, 'learning_rate': 0.0002, 'epoch': 0.06}
{'loss': 0.333, 'grad_norm': 0.06994438171386719, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 0.5076, 'grad_norm': 0.07159296423196793, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 0.4737, 'grad_norm': 0.0665307492017746, 'learning_rate': 0.0002, 'epoch': 0.08}
{'loss': 0.4243, 'grad_norm': 0.06231115013360977, 'learning_rate': 0.0002, 'epoch': 0.09}
{'loss': 0.3578, 'grad_norm': 0.07468016445636749, 'learning_rate': 0.0002, 'epoch': 0.09}
{'loss': 0.2984, 'grad_norm': 0.06515756249427795, 'learning_rate': 0.0002, 'epoch': 0.1}
{'loss': 0.5387, 'grad_norm': 0.062331005930900574, 'learning_rate': 0.0002, 'epoch': 0.11}
{'loss': 0.5153, 'grad_norm': 0.07718644291162491, 'learning_rate': 0.0002, 'epoch': 0.11}
{'loss': 0.4202, 'grad_norm': 0.06962645798921585, 'learning_rate': 0.0002, 'epoch': 0.12}
{'loss': 0.3977, 'grad_norm': 0.06813332438468933, 'learning_rate': 0.0002, 'epoch': 0.12}
{'loss': 0.2967, 'grad_norm': 0.06766936182975769, 'learning_rate': 0.0002, 'epoch': 0.13}
{'loss': 0.531, 'grad_norm': 0.06594182550907135, 'learning_rate': 0.0002, 'epoch': 0.14}
{'loss': 0.4339, 'grad_norm': 0.05586933717131615, 'learning_rate': 0.0002, 'epoch': 0.14}
{'loss': 0.4337, 'grad_norm': 0.056037142872810364, 'learning_rate': 0.0002, 'epoch': 0.15}
{'loss': 0.3942, 'grad_norm': 0.06190364435315132, 'learning_rate': 0.0002, 'epoch': 0.16}
{'loss': 0.2985, 'grad_norm': 0.05674368888139725, 'learning_rate': 0.0002, 'epoch': 0.16}
{'loss': 0.565, 'grad_norm': 0.06652569770812988, 'learning_rate': 0.0002, 'epoch': 0.17}
{'loss': 0.4785, 'grad_norm': 0.0661793127655983, 'learning_rate': 0.0002, 'epoch': 0.18}
{'loss': 0.4042, 'grad_norm': 0.07887456566095352, 'learning_rate': 0.0002, 'epoch': 0.18}
{'loss': 0.3689, 'grad_norm': 0.060288965702056885, 'learning_rate': 0.0002, 'epoch': 0.19}
{'loss': 0.3098, 'grad_norm': 0.05816355347633362, 'learning_rate': 0.0002, 'epoch': 0.2}
{'loss': 0.5506, 'grad_norm': 0.06776408106088638, 'learning_rate': 0.0002, 'epoch': 0.2}
{'loss': 0.4315, 'grad_norm': 0.07192254066467285, 'learning_rate': 0.0002, 'epoch': 0.21}
{'loss': 0.4018, 'grad_norm': 0.08133578300476074, 'learning_rate': 0.0002, 'epoch': 0.22}
{'loss': 0.3647, 'grad_norm': 0.07412770390510559, 'learning_rate': 0.0002, 'epoch': 0.22}
{'loss': 0.2792, 'grad_norm': 0.05866234749555588, 'learning_rate': 0.0002, 'epoch': 0.23}
{'loss': 0.5562, 'grad_norm': 0.07532691955566406, 'learning_rate': 0.0002, 'epoch': 0.24}
{'loss': 0.4789, 'grad_norm': 0.06847580522298813, 'learning_rate': 0.0002, 'epoch': 0.24}
{'loss': 0.3715, 'grad_norm': 0.05623842030763626, 'learning_rate': 0.0002, 'epoch': 0.25}
{'loss': 0.3513, 'grad_norm': 0.07203353941440582, 'learning_rate': 0.0002, 'epoch': 0.26}
{'loss': 0.3107, 'grad_norm': 0.055765632539987564, 'learning_rate': 0.0002, 'epoch': 0.26}
{'loss': 0.57, 'grad_norm': 0.0728197917342186, 'learning_rate': 0.0002, 'epoch': 0.27}
{'loss': 0.4516, 'grad_norm': 0.06226053088903427, 'learning_rate': 0.0002, 'epoch': 0.28}
{'loss': 0.4066, 'grad_norm': 0.08137394487857819, 'learning_rate': 0.0002, 'epoch': 0.28}
{'loss': 0.3865, 'grad_norm': 0.06680846959352493, 'learning_rate': 0.0002, 'epoch': 0.29}
{'loss': 0.2729, 'grad_norm': 0.06075652688741684, 'learning_rate': 0.0002, 'epoch': 0.3}
{'loss': 0.523, 'grad_norm': 0.06061789393424988, 'learning_rate': 0.0002, 'epoch': 0.3}
{'loss': 0.439, 'grad_norm': 0.06581973284482956, 'learning_rate': 0.0002, 'epoch': 0.31}
{'loss': 0.397, 'grad_norm': 0.08154606074094772, 'learning_rate': 0.0002, 'epoch': 0.32}
{'loss': 0.3537, 'grad_norm': 0.06818939000368118, 'learning_rate': 0.0002, 'epoch': 0.32}
{'loss': 0.3265, 'grad_norm': 0.08453138172626495, 'learning_rate': 0.0002, 'epoch': 0.33}
{'loss': 0.5675, 'grad_norm': 0.07115280628204346, 'learning_rate': 0.0002, 'epoch': 0.33}
{'loss': 0.4746, 'grad_norm': 0.08481470495462418, 'learning_rate': 0.0002, 'epoch': 0.34}
{'loss': 0.4509, 'grad_norm': 0.0782652422785759, 'learning_rate': 0.0002, 'epoch': 0.35}
{'loss': 0.3812, 'grad_norm': 0.1032983809709549, 'learning_rate': 0.0002, 'epoch': 0.35}
{'loss': 0.3224, 'grad_norm': 0.06049022823572159, 'learning_rate': 0.0002, 'epoch': 0.36}
{'loss': 0.5594, 'grad_norm': 0.0801260769367218, 'learning_rate': 0.0002, 'epoch': 0.37}
{'loss': 0.4657, 'grad_norm': 0.07422369718551636, 'learning_rate': 0.0002, 'epoch': 0.37}
{'loss': 0.4311, 'grad_norm': 0.07738339900970459, 'learning_rate': 0.0002, 'epoch': 0.38}
{'loss': 0.3644, 'grad_norm': 0.07100821286439896, 'learning_rate': 0.0002, 'epoch': 0.39}
{'loss': 0.2814, 'grad_norm': 0.07912366092205048, 'learning_rate': 0.0002, 'epoch': 0.39}
{'loss': 0.5002, 'grad_norm': 0.08320218324661255, 'learning_rate': 0.0002, 'epoch': 0.4}
{'loss': 0.4953, 'grad_norm': 0.13240192830562592, 'learning_rate': 0.0002, 'epoch': 0.41}
{'loss': 0.4287, 'grad_norm': 0.08612106740474701, 'learning_rate': 0.0002, 'epoch': 0.41}
{'loss': 0.3918, 'grad_norm': 0.0764472484588623, 'learning_rate': 0.0002, 'epoch': 0.42}
{'loss': 0.3245, 'grad_norm': 0.06053733825683594, 'learning_rate': 0.0002, 'epoch': 0.43}
{'loss': 0.5203, 'grad_norm': 0.07348062843084335, 'learning_rate': 0.0002, 'epoch': 0.43}
{'loss': 0.4163, 'grad_norm': 0.08550640195608139, 'learning_rate': 0.0002, 'epoch': 0.44}
{'loss': 0.3761, 'grad_norm': 0.0648927092552185, 'learning_rate': 0.0002, 'epoch': 0.45}
{'loss': 0.3507, 'grad_norm': 0.07061690092086792, 'learning_rate': 0.0002, 'epoch': 0.45}
{'loss': 0.3073, 'grad_norm': 0.06602973490953445, 'learning_rate': 0.0002, 'epoch': 0.46}
{'loss': 0.597, 'grad_norm': 0.08299970626831055, 'learning_rate': 0.0002, 'epoch': 0.47}
{'loss': 0.4312, 'grad_norm': 0.07611776143312454, 'learning_rate': 0.0002, 'epoch': 0.47}
{'loss': 0.4029, 'grad_norm': 0.08879128098487854, 'learning_rate': 0.0002, 'epoch': 0.48}
{'loss': 0.3494, 'grad_norm': 0.07284924387931824, 'learning_rate': 0.0002, 'epoch': 0.49}
{'loss': 0.3241, 'grad_norm': 0.06374765932559967, 'learning_rate': 0.0002, 'epoch': 0.49}
{'loss': 0.5085, 'grad_norm': 0.06589522957801819, 'learning_rate': 0.0002, 'epoch': 0.5}
{'loss': 0.4558, 'grad_norm': 0.08593639731407166, 'learning_rate': 0.0002, 'epoch': 0.51}
{'loss': 0.3878, 'grad_norm': 0.07827688008546829, 'learning_rate': 0.0002, 'epoch': 0.51}
{'loss': 0.3197, 'grad_norm': 0.0703485906124115, 'learning_rate': 0.0002, 'epoch': 0.52}
{'loss': 0.2753, 'grad_norm': 0.060734208673238754, 'learning_rate': 0.0002, 'epoch': 0.53}
{'loss': 0.5282, 'grad_norm': 0.07841873168945312, 'learning_rate': 0.0002, 'epoch': 0.53}
{'loss': 0.4351, 'grad_norm': 0.09148269146680832, 'learning_rate': 0.0002, 'epoch': 0.54}
{'loss': 0.417, 'grad_norm': 0.08826331049203873, 'learning_rate': 0.0002, 'epoch': 0.54}
{'loss': 0.3828, 'grad_norm': 0.07608339935541153, 'learning_rate': 0.0002, 'epoch': 0.55}
{'loss': 0.2716, 'grad_norm': 0.0654674544930458, 'learning_rate': 0.0002, 'epoch': 0.56}
{'loss': 0.5355, 'grad_norm': 0.10174088925123215, 'learning_rate': 0.0002, 'epoch': 0.56}
{'loss': 0.4509, 'grad_norm': 0.08080067485570908, 'learning_rate': 0.0002, 'epoch': 0.57}
{'loss': 0.4135, 'grad_norm': 0.0760590061545372, 'learning_rate': 0.0002, 'epoch': 0.58}
{'loss': 0.3658, 'grad_norm': 0.061990149319171906, 'learning_rate': 0.0002, 'epoch': 0.58}
{'loss': 0.2934, 'grad_norm': 0.06961065530776978, 'learning_rate': 0.0002, 'epoch': 0.59}
{'loss': 0.5588, 'grad_norm': 0.08003134280443192, 'learning_rate': 0.0002, 'epoch': 0.6}
{'loss': 0.4897, 'grad_norm': 0.07871466130018234, 'learning_rate': 0.0002, 'epoch': 0.6}
{'loss': 0.4198, 'grad_norm': 0.07579810917377472, 'learning_rate': 0.0002, 'epoch': 0.61}
{'loss': 0.346, 'grad_norm': 0.06875953078269958, 'learning_rate': 0.0002, 'epoch': 0.62}
{'loss': 0.2853, 'grad_norm': 0.06883259862661362, 'learning_rate': 0.0002, 'epoch': 0.62}
{'loss': 0.5275, 'grad_norm': 0.0714130699634552, 'learning_rate': 0.0002, 'epoch': 0.63}
{'loss': 0.4326, 'grad_norm': 0.07108355313539505, 'learning_rate': 0.0002, 'epoch': 0.64}
{'loss': 0.392, 'grad_norm': 0.07413746416568756, 'learning_rate': 0.0002, 'epoch': 0.64}
{'loss': 0.3755, 'grad_norm': 0.0837612897157669, 'learning_rate': 0.0002, 'epoch': 0.65}
