Running configuration: 
[2025-01-12 02:28:34,290][root][INFO] - Global seed set to 21
[2025-01-12 02:28:34,290][root][WARNING] - No quantisation will be done on loaded model, THIS IS A LORA FINE-TUNING RUN
[2025-01-12 02:28:34,290][root][WARNING] - Following flags are set for the run : 
 Use Quantisation before fine-tuning : False 
 Perform Validation on epoch end : False
[2025-01-12 02:28:34,290][root][INFO] - Running Fine-tuning on the all_domains_all_samples dataset
[2025-01-12 02:28:34,290][root][INFO] - Current training config is : 
 Prompt type : few_shot 
 Response type : answer_first 
 Explanation type : structured 
 Response Format : json 
[2025-01-12 02:28:42,974][root][INFO] - Loading dataset from /work/dlclarge1/fernandr-thesis_workspace/bar-llama/dataset/seed_dataset/distilled_dataset.json
[2025-01-12 02:28:42,989][root][INFO] - Dataset loaded successfully, indexing questions...
[2025-01-12 02:28:42,992][root][INFO] - Indexing complete, sampling of questions set to True
[2025-01-12 02:28:42,992][root][INFO] - Questions selected, dataset contains 1523 questions with 217.57142857142858 questions per domain
[2025-01-12 02:28:42,995][root][INFO] - Prompt Handler initialized with configuration: {'prompt_type': 'few_shot', 'example_path': '${hydra:runtime.cwd}/prompt/examples/structured_example.json', 'explanation_type': 'structured', 'response_type': 'answer_first', 'response_format': 'json', 'store_prompt': True, 'system_prompt': '${hydra:runtime.cwd}/prompt/system_prompt/system_${train.prompt.response_format}_${train.prompt.response_type}_${train.prompt.explanation_type}.txt', 'include_system_prompt': True}
The token has not been saved to the git credentials helper. Pass `add_to_git_credential=True` in this function directly or `--add-to-git-credential` if using via `huggingface-cli` if you want to set the git credential as well.
Token is valid (permission: write).
Your token has been saved to /home/fernandr/.cache/huggingface/token
Login successful
[2025-01-12 02:28:43,437][root][INFO] - Tokenizer meta-llama/Llama-2-7b-hf loaded successfully
[2025-01-12 02:28:45,887][root][INFO] - Model meta-llama/Llama-2-7b-hf loaded successfully
[2025-01-12 02:28:48,128][root][INFO] - Lora config loaded, following are the details : 
 LoraConfig(peft_type=<PeftType.LORA: 'LORA'>, auto_mapping=None, base_model_name_or_path=None, revision=None, task_type='CAUSAL_LM', inference_mode=False, r=128, target_modules={'up_proj', 'down_proj', 'o_proj', 'v_proj', 'k_proj', 'q_proj', 'gate_proj'}, lora_alpha=16, lora_dropout=0.5, fan_in_fan_out=False, bias='none', use_rslora=False, modules_to_save=None, init_lora_weights=True, layers_to_transform=None, layers_pattern=None, rank_pattern={}, alpha_pattern={}, megatron_config=None, megatron_core='megatron.core', loftq_config={}, use_dora=False, layer_replication=None)
[2025-01-12 02:28:50,546][root][INFO] - Lora adapter added to model
{'loss': 1.1202, 'grad_norm': 0.11350952088832855, 'learning_rate': 0.0002, 'epoch': 0.01}
{'loss': 0.6197, 'grad_norm': 0.10020367801189423, 'learning_rate': 0.0002, 'epoch': 0.01}
{'loss': 0.4432, 'grad_norm': 0.10643423348665237, 'learning_rate': 0.0002, 'epoch': 0.02}
{'loss': 0.415, 'grad_norm': 0.0676073282957077, 'learning_rate': 0.0002, 'epoch': 0.03}
{'loss': 0.3706, 'grad_norm': 0.07032430917024612, 'learning_rate': 0.0002, 'epoch': 0.03}
{'loss': 0.6106, 'grad_norm': 0.07886748015880585, 'learning_rate': 0.0002, 'epoch': 0.04}
{'loss': 0.4705, 'grad_norm': 0.0720253586769104, 'learning_rate': 0.0002, 'epoch': 0.05}
{'loss': 0.4647, 'grad_norm': 0.07069841027259827, 'learning_rate': 0.0002, 'epoch': 0.05}
{'loss': 0.3708, 'grad_norm': 0.06179226562380791, 'learning_rate': 0.0002, 'epoch': 0.06}
{'loss': 0.3328, 'grad_norm': 0.07046671956777573, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 0.5076, 'grad_norm': 0.07115922123193741, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 0.474, 'grad_norm': 0.06612144410610199, 'learning_rate': 0.0002, 'epoch': 0.08}
{'loss': 0.4245, 'grad_norm': 0.06327412277460098, 'learning_rate': 0.0002, 'epoch': 0.09}
{'loss': 0.3573, 'grad_norm': 0.07299534976482391, 'learning_rate': 0.0002, 'epoch': 0.09}
{'loss': 0.2986, 'grad_norm': 0.06534335762262344, 'learning_rate': 0.0002, 'epoch': 0.1}
{'loss': 0.5388, 'grad_norm': 0.06196703389286995, 'learning_rate': 0.0002, 'epoch': 0.11}
{'loss': 0.5154, 'grad_norm': 0.07638518512248993, 'learning_rate': 0.0002, 'epoch': 0.11}
{'loss': 0.4205, 'grad_norm': 0.06923555582761765, 'learning_rate': 0.0002, 'epoch': 0.12}
{'loss': 0.398, 'grad_norm': 0.06943369656801224, 'learning_rate': 0.0002, 'epoch': 0.12}
{'loss': 0.2969, 'grad_norm': 0.0682794600725174, 'learning_rate': 0.0002, 'epoch': 0.13}
{'loss': 0.5312, 'grad_norm': 0.06524878740310669, 'learning_rate': 0.0002, 'epoch': 0.14}
{'loss': 0.4339, 'grad_norm': 0.0557861365377903, 'learning_rate': 0.0002, 'epoch': 0.14}
{'loss': 0.4338, 'grad_norm': 0.05648082494735718, 'learning_rate': 0.0002, 'epoch': 0.15}
{'loss': 0.3942, 'grad_norm': 0.06202308088541031, 'learning_rate': 0.0002, 'epoch': 0.16}
{'loss': 0.2986, 'grad_norm': 0.0570465512573719, 'learning_rate': 0.0002, 'epoch': 0.16}
