Running configuration: 
[2025-01-12 07:10:36,585][root][INFO] - Global seed set to 21
[2025-01-12 07:10:36,585][root][WARNING] - No quantisation will be done on loaded model, THIS IS A LORA FINE-TUNING RUN
[2025-01-12 07:10:36,586][root][WARNING] - Following flags are set for the run : 
 Use Quantisation before fine-tuning : False 
 Perform Validation on epoch end : False
[2025-01-12 07:10:36,586][root][INFO] - Running Fine-tuning on the all_domains_all_samples dataset
[2025-01-12 07:10:36,586][root][INFO] - Current training config is : 
 Prompt type : few_shot 
 Response type : answer_first 
 Explanation type : structured 
 Response Format : json 
[2025-01-12 07:10:45,433][root][INFO] - Loading dataset from /work/dlclarge1/fernandr-thesis_workspace/bar-llama/dataset/seed_dataset/distilled_dataset.json
[2025-01-12 07:10:45,447][root][INFO] - Dataset loaded successfully, indexing questions...
[2025-01-12 07:10:45,449][root][INFO] - Indexing complete, sampling of questions set to True
[2025-01-12 07:10:45,449][root][INFO] - Questions selected, dataset contains 1523 questions with 217.57142857142858 questions per domain
[2025-01-12 07:10:45,452][root][INFO] - Prompt Handler initialized with configuration: {'prompt_type': 'few_shot', 'example_path': '${hydra:runtime.cwd}/prompt/examples/structured_example.json', 'explanation_type': 'structured', 'response_type': 'answer_first', 'response_format': 'json', 'store_prompt': True, 'system_prompt': '${hydra:runtime.cwd}/prompt/system_prompt/system_${train.prompt.response_format}_${train.prompt.response_type}_${train.prompt.explanation_type}.txt', 'include_system_prompt': True}
The token has not been saved to the git credentials helper. Pass `add_to_git_credential=True` in this function directly or `--add-to-git-credential` if using via `huggingface-cli` if you want to set the git credential as well.
Token is valid (permission: write).
Your token has been saved to /home/fernandr/.cache/huggingface/token
Login successful
[2025-01-12 07:10:45,979][root][INFO] - Tokenizer meta-llama/Llama-2-7b-hf loaded successfully
[2025-01-12 07:10:48,356][root][INFO] - Model meta-llama/Llama-2-7b-hf loaded successfully
[2025-01-12 07:10:50,597][root][INFO] - Lora config loaded, following are the details : 
 LoraConfig(peft_type=<PeftType.LORA: 'LORA'>, auto_mapping=None, base_model_name_or_path=None, revision=None, task_type='CAUSAL_LM', inference_mode=False, r=128, target_modules={'v_proj', 'q_proj', 'down_proj', 'up_proj', 'k_proj', 'o_proj', 'gate_proj'}, lora_alpha=16, lora_dropout=0.5, fan_in_fan_out=False, bias='none', use_rslora=False, modules_to_save=None, init_lora_weights=True, layers_to_transform=None, layers_pattern=None, rank_pattern={}, alpha_pattern={}, megatron_config=None, megatron_core='megatron.core', loftq_config={}, use_dora=False, layer_replication=None)
[2025-01-12 07:10:53,002][root][INFO] - Lora adapter added to model
{'loss': 1.1202, 'grad_norm': 0.11350950598716736, 'learning_rate': 0.0002, 'epoch': 0.01}
{'loss': 0.6197, 'grad_norm': 0.10020336508750916, 'learning_rate': 0.0002, 'epoch': 0.01}
{'loss': 0.4432, 'grad_norm': 0.10643418878316879, 'learning_rate': 0.0002, 'epoch': 0.02}
{'loss': 0.415, 'grad_norm': 0.06761334836483002, 'learning_rate': 0.0002, 'epoch': 0.03}
{'loss': 0.3706, 'grad_norm': 0.07034116983413696, 'learning_rate': 0.0002, 'epoch': 0.03}
{'loss': 0.6106, 'grad_norm': 0.07881592214107513, 'learning_rate': 0.0002, 'epoch': 0.04}
{'loss': 0.4705, 'grad_norm': 0.0724380686879158, 'learning_rate': 0.0002, 'epoch': 0.05}
{'loss': 0.4647, 'grad_norm': 0.07109721004962921, 'learning_rate': 0.0002, 'epoch': 0.05}
{'loss': 0.3708, 'grad_norm': 0.061937205493450165, 'learning_rate': 0.0002, 'epoch': 0.06}
{'loss': 0.3331, 'grad_norm': 0.06996552646160126, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 0.5078, 'grad_norm': 0.0723896473646164, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 0.4735, 'grad_norm': 0.06666525453329086, 'learning_rate': 0.0002, 'epoch': 0.08}
{'loss': 0.4246, 'grad_norm': 0.06210074573755264, 'learning_rate': 0.0002, 'epoch': 0.09}
{'loss': 0.3577, 'grad_norm': 0.07438471913337708, 'learning_rate': 0.0002, 'epoch': 0.09}
{'loss': 0.2982, 'grad_norm': 0.0637727677822113, 'learning_rate': 0.0002, 'epoch': 0.1}
{'loss': 0.5386, 'grad_norm': 0.06209040433168411, 'learning_rate': 0.0002, 'epoch': 0.11}
{'loss': 0.5152, 'grad_norm': 0.07416024059057236, 'learning_rate': 0.0002, 'epoch': 0.11}
{'loss': 0.4201, 'grad_norm': 0.06894148886203766, 'learning_rate': 0.0002, 'epoch': 0.12}
{'loss': 0.3979, 'grad_norm': 0.06957800686359406, 'learning_rate': 0.0002, 'epoch': 0.12}
{'loss': 0.2969, 'grad_norm': 0.06844553351402283, 'learning_rate': 0.0002, 'epoch': 0.13}
{'loss': 0.5311, 'grad_norm': 0.06760262697935104, 'learning_rate': 0.0002, 'epoch': 0.14}
{'loss': 0.4338, 'grad_norm': 0.056099530309438705, 'learning_rate': 0.0002, 'epoch': 0.14}
{'loss': 0.4338, 'grad_norm': 0.05777537822723389, 'learning_rate': 0.0002, 'epoch': 0.15}
{'loss': 0.395, 'grad_norm': 0.06348728388547897, 'learning_rate': 0.0002, 'epoch': 0.16}
{'loss': 0.2985, 'grad_norm': 0.05674753710627556, 'learning_rate': 0.0002, 'epoch': 0.16}
{'loss': 0.5651, 'grad_norm': 0.06682677567005157, 'learning_rate': 0.0002, 'epoch': 0.17}
{'loss': 0.4783, 'grad_norm': 0.06578226387500763, 'learning_rate': 0.0002, 'epoch': 0.18}
{'loss': 0.4042, 'grad_norm': 0.07920955866575241, 'learning_rate': 0.0002, 'epoch': 0.18}
{'loss': 0.369, 'grad_norm': 0.06070246547460556, 'learning_rate': 0.0002, 'epoch': 0.19}
{'loss': 0.3095, 'grad_norm': 0.057862021028995514, 'learning_rate': 0.0002, 'epoch': 0.2}
{'loss': 0.5511, 'grad_norm': 0.06881561130285263, 'learning_rate': 0.0002, 'epoch': 0.2}
{'loss': 0.4314, 'grad_norm': 0.07242685556411743, 'learning_rate': 0.0002, 'epoch': 0.21}
{'loss': 0.4018, 'grad_norm': 0.07701509445905685, 'learning_rate': 0.0002, 'epoch': 0.22}
{'loss': 0.3646, 'grad_norm': 0.07514159381389618, 'learning_rate': 0.0002, 'epoch': 0.22}
{'loss': 0.279, 'grad_norm': 0.05943680554628372, 'learning_rate': 0.0002, 'epoch': 0.23}
{'loss': 0.5561, 'grad_norm': 0.075589619576931, 'learning_rate': 0.0002, 'epoch': 0.24}
{'loss': 0.4782, 'grad_norm': 0.06871996074914932, 'learning_rate': 0.0002, 'epoch': 0.24}
{'loss': 0.3714, 'grad_norm': 0.05583930388092995, 'learning_rate': 0.0002, 'epoch': 0.25}
{'loss': 0.351, 'grad_norm': 0.0718933567404747, 'learning_rate': 0.0002, 'epoch': 0.26}
{'loss': 0.3107, 'grad_norm': 0.05601672828197479, 'learning_rate': 0.0002, 'epoch': 0.26}
{'loss': 0.5699, 'grad_norm': 0.07377256453037262, 'learning_rate': 0.0002, 'epoch': 0.27}
{'loss': 0.4515, 'grad_norm': 0.06396321207284927, 'learning_rate': 0.0002, 'epoch': 0.28}
{'loss': 0.4064, 'grad_norm': 0.08041729032993317, 'learning_rate': 0.0002, 'epoch': 0.28}
{'loss': 0.3864, 'grad_norm': 0.06625717133283615, 'learning_rate': 0.0002, 'epoch': 0.29}
{'loss': 0.2728, 'grad_norm': 0.060853805392980576, 'learning_rate': 0.0002, 'epoch': 0.3}
{'loss': 0.523, 'grad_norm': 0.060341548174619675, 'learning_rate': 0.0002, 'epoch': 0.3}
{'loss': 0.4388, 'grad_norm': 0.06506073474884033, 'learning_rate': 0.0002, 'epoch': 0.31}
