Running configuration: 
[2025-01-12 07:11:31,462][root][INFO] - Global seed set to 21
[2025-01-12 07:11:31,462][root][WARNING] - No quantisation will be done on loaded model, THIS IS A LORA FINE-TUNING RUN
[2025-01-12 07:11:31,462][root][WARNING] - Following flags are set for the run : 
 Use Quantisation before fine-tuning : False 
 Perform Validation on epoch end : False
[2025-01-12 07:11:31,462][root][INFO] - Running Fine-tuning on the all_domains_all_samples dataset
[2025-01-12 07:11:31,462][root][INFO] - Current training config is : 
 Prompt type : few_shot 
 Response type : answer_first 
 Explanation type : structured 
 Response Format : json 
[2025-01-12 07:11:40,589][root][INFO] - Loading dataset from /work/dlclarge1/fernandr-thesis_workspace/bar-llama/dataset/seed_dataset/distilled_dataset.json
[2025-01-12 07:11:40,604][root][INFO] - Dataset loaded successfully, indexing questions...
[2025-01-12 07:11:40,607][root][INFO] - Indexing complete, sampling of questions set to True
[2025-01-12 07:11:40,607][root][INFO] - Questions selected, dataset contains 1523 questions with 217.57142857142858 questions per domain
[2025-01-12 07:11:40,610][root][INFO] - Prompt Handler initialized with configuration: {'prompt_type': 'few_shot', 'example_path': '${hydra:runtime.cwd}/prompt/examples/structured_example.json', 'explanation_type': 'structured', 'response_type': 'answer_first', 'response_format': 'json', 'store_prompt': True, 'system_prompt': '${hydra:runtime.cwd}/prompt/system_prompt/system_${train.prompt.response_format}_${train.prompt.response_type}_${train.prompt.explanation_type}.txt', 'include_system_prompt': True}
The token has not been saved to the git credentials helper. Pass `add_to_git_credential=True` in this function directly or `--add-to-git-credential` if using via `huggingface-cli` if you want to set the git credential as well.
Token is valid (permission: write).
Your token has been saved to /home/fernandr/.cache/huggingface/token
Login successful
[2025-01-12 07:11:41,142][root][INFO] - Tokenizer meta-llama/Llama-2-7b-hf loaded successfully
[2025-01-12 07:11:43,517][root][INFO] - Model meta-llama/Llama-2-7b-hf loaded successfully
[2025-01-12 07:11:45,759][root][INFO] - Lora config loaded, following are the details : 
 LoraConfig(peft_type=<PeftType.LORA: 'LORA'>, auto_mapping=None, base_model_name_or_path=None, revision=None, task_type='CAUSAL_LM', inference_mode=False, r=128, target_modules={'gate_proj', 'v_proj', 'k_proj', 'down_proj', 'o_proj', 'q_proj', 'up_proj'}, lora_alpha=16, lora_dropout=0.5, fan_in_fan_out=False, bias='none', use_rslora=False, modules_to_save=None, init_lora_weights=True, layers_to_transform=None, layers_pattern=None, rank_pattern={}, alpha_pattern={}, megatron_config=None, megatron_core='megatron.core', loftq_config={}, use_dora=False, layer_replication=None)
[2025-01-12 07:11:48,168][root][INFO] - Lora adapter added to model
{'loss': 1.1202, 'grad_norm': 0.11350952833890915, 'learning_rate': 0.0002, 'epoch': 0.01}
{'loss': 0.6197, 'grad_norm': 0.10020313411951065, 'learning_rate': 0.0002, 'epoch': 0.01}
{'loss': 0.4432, 'grad_norm': 0.10643414407968521, 'learning_rate': 0.0002, 'epoch': 0.02}
{'loss': 0.415, 'grad_norm': 0.06761039793491364, 'learning_rate': 0.0002, 'epoch': 0.03}
{'loss': 0.3706, 'grad_norm': 0.07033190876245499, 'learning_rate': 0.0002, 'epoch': 0.03}
{'loss': 0.6106, 'grad_norm': 0.07882218807935715, 'learning_rate': 0.0002, 'epoch': 0.04}
{'loss': 0.4705, 'grad_norm': 0.07245399057865143, 'learning_rate': 0.0002, 'epoch': 0.05}
{'loss': 0.4647, 'grad_norm': 0.07170908898115158, 'learning_rate': 0.0002, 'epoch': 0.05}
{'loss': 0.3708, 'grad_norm': 0.061972834169864655, 'learning_rate': 0.0002, 'epoch': 0.06}
{'loss': 0.3331, 'grad_norm': 0.06984926015138626, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 0.5078, 'grad_norm': 0.07222239673137665, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 0.4735, 'grad_norm': 0.06670264154672623, 'learning_rate': 0.0002, 'epoch': 0.08}
{'loss': 0.4246, 'grad_norm': 0.062203388661146164, 'learning_rate': 0.0002, 'epoch': 0.09}
{'loss': 0.358, 'grad_norm': 0.0755700096487999, 'learning_rate': 0.0002, 'epoch': 0.09}
{'loss': 0.2982, 'grad_norm': 0.06383642554283142, 'learning_rate': 0.0002, 'epoch': 0.1}
{'loss': 0.5383, 'grad_norm': 0.06272464245557785, 'learning_rate': 0.0002, 'epoch': 0.11}
{'loss': 0.515, 'grad_norm': 0.07584089040756226, 'learning_rate': 0.0002, 'epoch': 0.11}
{'loss': 0.4204, 'grad_norm': 0.06949500739574432, 'learning_rate': 0.0002, 'epoch': 0.12}
{'loss': 0.3979, 'grad_norm': 0.06972222775220871, 'learning_rate': 0.0002, 'epoch': 0.12}
{'loss': 0.2968, 'grad_norm': 0.0681995078921318, 'learning_rate': 0.0002, 'epoch': 0.13}
{'loss': 0.5313, 'grad_norm': 0.06574948132038116, 'learning_rate': 0.0002, 'epoch': 0.14}
{'loss': 0.4339, 'grad_norm': 0.05608152970671654, 'learning_rate': 0.0002, 'epoch': 0.14}
{'loss': 0.4337, 'grad_norm': 0.05748546123504639, 'learning_rate': 0.0002, 'epoch': 0.15}
{'loss': 0.3945, 'grad_norm': 0.0625796988606453, 'learning_rate': 0.0002, 'epoch': 0.16}
{'loss': 0.2984, 'grad_norm': 0.056953009217977524, 'learning_rate': 0.0002, 'epoch': 0.16}
