Running configuration: 
[2025-01-12 07:13:43,765][root][INFO] - Global seed set to 21
[2025-01-12 07:13:43,765][root][WARNING] - No quantisation will be done on loaded model, THIS IS A LORA FINE-TUNING RUN
[2025-01-12 07:13:43,765][root][WARNING] - Following flags are set for the run : 
 Use Quantisation before fine-tuning : False 
 Perform Validation on epoch end : False
[2025-01-12 07:13:43,765][root][INFO] - Running Fine-tuning on the all_domains_all_samples dataset
[2025-01-12 07:13:43,765][root][INFO] - Current training config is : 
 Prompt type : few_shot 
 Response type : answer_first 
 Explanation type : structured 
 Response Format : json 
[2025-01-12 07:13:52,853][root][INFO] - Loading dataset from /work/dlclarge1/fernandr-thesis_workspace/bar-llama/dataset/seed_dataset/distilled_dataset.json
[2025-01-12 07:13:52,866][root][INFO] - Dataset loaded successfully, indexing questions...
[2025-01-12 07:13:52,868][root][INFO] - Indexing complete, sampling of questions set to True
[2025-01-12 07:13:52,869][root][INFO] - Questions selected, dataset contains 1523 questions with 217.57142857142858 questions per domain
[2025-01-12 07:13:52,872][root][INFO] - Prompt Handler initialized with configuration: {'prompt_type': 'few_shot', 'example_path': '${hydra:runtime.cwd}/prompt/examples/structured_example.json', 'explanation_type': 'structured', 'response_type': 'answer_first', 'response_format': 'json', 'store_prompt': True, 'system_prompt': '${hydra:runtime.cwd}/prompt/system_prompt/system_${train.prompt.response_format}_${train.prompt.response_type}_${train.prompt.explanation_type}.txt', 'include_system_prompt': True}
The token has not been saved to the git credentials helper. Pass `add_to_git_credential=True` in this function directly or `--add-to-git-credential` if using via `huggingface-cli` if you want to set the git credential as well.
Token is valid (permission: write).
Your token has been saved to /home/fernandr/.cache/huggingface/token
Login successful
[2025-01-12 07:13:53,270][root][INFO] - Tokenizer meta-llama/Llama-2-7b-hf loaded successfully
[2025-01-12 07:13:55,734][root][INFO] - Model meta-llama/Llama-2-7b-hf loaded successfully
[2025-01-12 07:13:57,973][root][INFO] - Lora config loaded, following are the details : 
 LoraConfig(peft_type=<PeftType.LORA: 'LORA'>, auto_mapping=None, base_model_name_or_path=None, revision=None, task_type='CAUSAL_LM', inference_mode=False, r=128, target_modules={'o_proj', 'q_proj', 'k_proj', 'gate_proj', 'down_proj', 'v_proj', 'up_proj'}, lora_alpha=16, lora_dropout=0.5, fan_in_fan_out=False, bias='none', use_rslora=False, modules_to_save=None, init_lora_weights=True, layers_to_transform=None, layers_pattern=None, rank_pattern={}, alpha_pattern={}, megatron_config=None, megatron_core='megatron.core', loftq_config={}, use_dora=False, layer_replication=None)
[2025-01-12 07:14:00,388][root][INFO] - Lora adapter added to model
{'loss': 1.1202, 'grad_norm': 0.11350951343774796, 'learning_rate': 0.0002, 'epoch': 0.01}
{'loss': 0.6197, 'grad_norm': 0.10020316392183304, 'learning_rate': 0.0002, 'epoch': 0.01}
{'loss': 0.4432, 'grad_norm': 0.10643406212329865, 'learning_rate': 0.0002, 'epoch': 0.02}
{'loss': 0.415, 'grad_norm': 0.06761391460895538, 'learning_rate': 0.0002, 'epoch': 0.03}
{'loss': 0.3706, 'grad_norm': 0.07033965736627579, 'learning_rate': 0.0002, 'epoch': 0.03}
{'loss': 0.6106, 'grad_norm': 0.07882023602724075, 'learning_rate': 0.0002, 'epoch': 0.04}
{'loss': 0.4705, 'grad_norm': 0.07245524972677231, 'learning_rate': 0.0002, 'epoch': 0.05}
{'loss': 0.4647, 'grad_norm': 0.07067708671092987, 'learning_rate': 0.0002, 'epoch': 0.05}
{'loss': 0.3707, 'grad_norm': 0.06183035299181938, 'learning_rate': 0.0002, 'epoch': 0.06}
{'loss': 0.3329, 'grad_norm': 0.06990136951208115, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 0.5078, 'grad_norm': 0.07186645269393921, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 0.4736, 'grad_norm': 0.06665398925542831, 'learning_rate': 0.0002, 'epoch': 0.08}
{'loss': 0.4244, 'grad_norm': 0.06239968538284302, 'learning_rate': 0.0002, 'epoch': 0.09}
{'loss': 0.3579, 'grad_norm': 0.07502831518650055, 'learning_rate': 0.0002, 'epoch': 0.09}
{'loss': 0.2983, 'grad_norm': 0.06451316177845001, 'learning_rate': 0.0002, 'epoch': 0.1}
{'loss': 0.5384, 'grad_norm': 0.06233159080147743, 'learning_rate': 0.0002, 'epoch': 0.11}
{'loss': 0.5151, 'grad_norm': 0.07606978714466095, 'learning_rate': 0.0002, 'epoch': 0.11}
{'loss': 0.4203, 'grad_norm': 0.0695427805185318, 'learning_rate': 0.0002, 'epoch': 0.12}
{'loss': 0.3978, 'grad_norm': 0.06917690485715866, 'learning_rate': 0.0002, 'epoch': 0.12}
{'loss': 0.2967, 'grad_norm': 0.06741075217723846, 'learning_rate': 0.0002, 'epoch': 0.13}
{'loss': 0.5312, 'grad_norm': 0.06672387570142746, 'learning_rate': 0.0002, 'epoch': 0.14}
{'loss': 0.4338, 'grad_norm': 0.055712152272462845, 'learning_rate': 0.0002, 'epoch': 0.14}
{'loss': 0.4339, 'grad_norm': 0.06091790646314621, 'learning_rate': 0.0002, 'epoch': 0.15}
{'loss': 0.3945, 'grad_norm': 0.06191880628466606, 'learning_rate': 0.0002, 'epoch': 0.16}
{'loss': 0.2987, 'grad_norm': 0.05729662999510765, 'learning_rate': 0.0002, 'epoch': 0.16}
