Running configuration: 
[2025-01-11 21:24:42,129][root][INFO] - Global seed set to 21
[2025-01-11 21:24:42,130][root][WARNING] - No quantisation will be done on loaded model, THIS IS A LORA FINE-TUNING RUN
[2025-01-11 21:24:42,130][root][WARNING] - Following flags are set for the run : 
 Use Quantisation before fine-tuning : False 
 Perform Validation on epoch end : False
[2025-01-11 21:24:42,130][root][INFO] - Running Fine-tuning on the all_domains_all_samples dataset
[2025-01-11 21:24:42,130][root][INFO] - Current training config is : 
 Prompt type : few_shot 
 Response type : answer_first 
 Explanation type : structured 
 Response Format : json 
[2025-01-11 21:24:50,593][root][INFO] - Loading dataset from /work/dlclarge1/fernandr-thesis_workspace/bar-llama/dataset/seed_dataset/distilled_dataset.json
[2025-01-11 21:24:50,606][root][INFO] - Dataset loaded successfully, indexing questions...
[2025-01-11 21:24:50,609][root][INFO] - Indexing complete, sampling of questions set to True
[2025-01-11 21:24:50,610][root][INFO] - Questions selected, dataset contains 1523 questions with 217.57142857142858 questions per domain
[2025-01-11 21:24:50,613][root][INFO] - Prompt Handler initialized with configuration: {'prompt_type': 'few_shot', 'example_path': '${hydra:runtime.cwd}/prompt/examples/structured_example.json', 'explanation_type': 'structured', 'response_type': 'answer_first', 'response_format': 'json', 'store_prompt': True, 'system_prompt': '${hydra:runtime.cwd}/prompt/system_prompt/system_${train.prompt.response_format}_${train.prompt.response_type}_${train.prompt.explanation_type}.txt', 'include_system_prompt': True}
The token has not been saved to the git credentials helper. Pass `add_to_git_credential=True` in this function directly or `--add-to-git-credential` if using via `huggingface-cli` if you want to set the git credential as well.
Token is valid (permission: write).
Your token has been saved to /home/fernandr/.cache/huggingface/token
Login successful
[2025-01-11 21:24:51,084][root][INFO] - Tokenizer meta-llama/Llama-2-7b-hf loaded successfully
[2025-01-11 21:24:53,413][root][INFO] - Model meta-llama/Llama-2-7b-hf loaded successfully
[2025-01-11 21:24:55,659][root][INFO] - Lora config loaded, following are the details : 
 LoraConfig(peft_type=<PeftType.LORA: 'LORA'>, auto_mapping=None, base_model_name_or_path=None, revision=None, task_type='CAUSAL_LM', inference_mode=False, r=128, target_modules={'gate_proj', 'k_proj', 'v_proj', 'up_proj', 'down_proj', 'q_proj', 'o_proj'}, lora_alpha=16, lora_dropout=0.5, fan_in_fan_out=False, bias='none', use_rslora=False, modules_to_save=None, init_lora_weights=True, layers_to_transform=None, layers_pattern=None, rank_pattern={}, alpha_pattern={}, megatron_config=None, megatron_core='megatron.core', loftq_config={}, use_dora=False, layer_replication=None)
[2025-01-11 21:24:58,074][root][INFO] - Lora adapter added to model
{'loss': 1.1202, 'grad_norm': 0.11350949853658676, 'learning_rate': 0.0002, 'epoch': 0.01}
{'loss': 0.6197, 'grad_norm': 0.10020270198583603, 'learning_rate': 0.0002, 'epoch': 0.01}
{'loss': 0.4432, 'grad_norm': 0.10643437504768372, 'learning_rate': 0.0002, 'epoch': 0.02}
{'loss': 0.415, 'grad_norm': 0.06761393696069717, 'learning_rate': 0.0002, 'epoch': 0.03}
{'loss': 0.3706, 'grad_norm': 0.07033983618021011, 'learning_rate': 0.0002, 'epoch': 0.03}
{'loss': 0.6106, 'grad_norm': 0.07882124185562134, 'learning_rate': 0.0002, 'epoch': 0.04}
{'loss': 0.4705, 'grad_norm': 0.07242298871278763, 'learning_rate': 0.0002, 'epoch': 0.05}
{'loss': 0.4647, 'grad_norm': 0.07093233615159988, 'learning_rate': 0.0002, 'epoch': 0.05}
{'loss': 0.3708, 'grad_norm': 0.061956100165843964, 'learning_rate': 0.0002, 'epoch': 0.06}
{'loss': 0.333, 'grad_norm': 0.06931751221418381, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 0.5077, 'grad_norm': 0.07304175943136215, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 0.4734, 'grad_norm': 0.06671711057424545, 'learning_rate': 0.0002, 'epoch': 0.08}
{'loss': 0.4246, 'grad_norm': 0.06338201463222504, 'learning_rate': 0.0002, 'epoch': 0.09}
{'loss': 0.3575, 'grad_norm': 0.07377993315458298, 'learning_rate': 0.0002, 'epoch': 0.09}
{'loss': 0.2983, 'grad_norm': 0.06441711634397507, 'learning_rate': 0.0002, 'epoch': 0.1}
{'loss': 0.5389, 'grad_norm': 0.061992812901735306, 'learning_rate': 0.0002, 'epoch': 0.11}
{'loss': 0.5154, 'grad_norm': 0.07150909304618835, 'learning_rate': 0.0002, 'epoch': 0.11}
{'loss': 0.4205, 'grad_norm': 0.06971901655197144, 'learning_rate': 0.0002, 'epoch': 0.12}
{'loss': 0.3978, 'grad_norm': 0.0692974403500557, 'learning_rate': 0.0002, 'epoch': 0.12}
{'loss': 0.2969, 'grad_norm': 0.06861542165279388, 'learning_rate': 0.0002, 'epoch': 0.13}
{'loss': 0.5316, 'grad_norm': 0.0650981143116951, 'learning_rate': 0.0002, 'epoch': 0.14}
{'loss': 0.4337, 'grad_norm': 0.05599033832550049, 'learning_rate': 0.0002, 'epoch': 0.14}
{'loss': 0.4337, 'grad_norm': 0.056441280990839005, 'learning_rate': 0.0002, 'epoch': 0.15}
{'loss': 0.3945, 'grad_norm': 0.06250716745853424, 'learning_rate': 0.0002, 'epoch': 0.16}
{'loss': 0.2985, 'grad_norm': 0.05700185149908066, 'learning_rate': 0.0002, 'epoch': 0.16}
{'loss': 0.5647, 'grad_norm': 0.06633736193180084, 'learning_rate': 0.0002, 'epoch': 0.17}
{'loss': 0.4783, 'grad_norm': 0.06671793758869171, 'learning_rate': 0.0002, 'epoch': 0.18}
{'loss': 0.4042, 'grad_norm': 0.079325832426548, 'learning_rate': 0.0002, 'epoch': 0.18}
{'loss': 0.3692, 'grad_norm': 0.06057444587349892, 'learning_rate': 0.0002, 'epoch': 0.19}
{'loss': 0.3097, 'grad_norm': 0.059425238519907, 'learning_rate': 0.0002, 'epoch': 0.2}
{'loss': 0.5509, 'grad_norm': 0.06837593764066696, 'learning_rate': 0.0002, 'epoch': 0.2}
{'loss': 0.4318, 'grad_norm': 0.07254885137081146, 'learning_rate': 0.0002, 'epoch': 0.21}
{'loss': 0.402, 'grad_norm': 0.07984094321727753, 'learning_rate': 0.0002, 'epoch': 0.22}
{'loss': 0.3642, 'grad_norm': 0.07535853981971741, 'learning_rate': 0.0002, 'epoch': 0.22}
{'loss': 0.2793, 'grad_norm': 0.05877556651830673, 'learning_rate': 0.0002, 'epoch': 0.23}
{'loss': 0.5561, 'grad_norm': 0.07534203678369522, 'learning_rate': 0.0002, 'epoch': 0.24}
{'loss': 0.4783, 'grad_norm': 0.06937635689973831, 'learning_rate': 0.0002, 'epoch': 0.24}
{'loss': 0.3715, 'grad_norm': 0.05583202466368675, 'learning_rate': 0.0002, 'epoch': 0.25}
{'loss': 0.3513, 'grad_norm': 0.07145901024341583, 'learning_rate': 0.0002, 'epoch': 0.26}
{'loss': 0.3111, 'grad_norm': 0.05656808987259865, 'learning_rate': 0.0002, 'epoch': 0.26}
{'loss': 0.5695, 'grad_norm': 0.07365638762712479, 'learning_rate': 0.0002, 'epoch': 0.27}
{'loss': 0.4518, 'grad_norm': 0.0623401515185833, 'learning_rate': 0.0002, 'epoch': 0.28}
{'loss': 0.4059, 'grad_norm': 0.08060716837644577, 'learning_rate': 0.0002, 'epoch': 0.28}
{'loss': 0.3862, 'grad_norm': 0.07232260704040527, 'learning_rate': 0.0002, 'epoch': 0.29}
{'loss': 0.2732, 'grad_norm': 0.061374012380838394, 'learning_rate': 0.0002, 'epoch': 0.3}
{'loss': 0.5228, 'grad_norm': 0.06071563437581062, 'learning_rate': 0.0002, 'epoch': 0.3}
{'loss': 0.439, 'grad_norm': 0.06532136350870132, 'learning_rate': 0.0002, 'epoch': 0.31}
{'loss': 0.3975, 'grad_norm': 0.08133028447628021, 'learning_rate': 0.0002, 'epoch': 0.32}
{'loss': 0.3538, 'grad_norm': 0.06739719957113266, 'learning_rate': 0.0002, 'epoch': 0.32}
{'loss': 0.3268, 'grad_norm': 0.07840785384178162, 'learning_rate': 0.0002, 'epoch': 0.33}
{'loss': 0.5672, 'grad_norm': 0.07114017754793167, 'learning_rate': 0.0002, 'epoch': 0.33}
{'loss': 0.4745, 'grad_norm': 0.0852816253900528, 'learning_rate': 0.0002, 'epoch': 0.34}
{'loss': 0.4508, 'grad_norm': 0.07953505218029022, 'learning_rate': 0.0002, 'epoch': 0.35}
{'loss': 0.381, 'grad_norm': 0.10472620278596878, 'learning_rate': 0.0002, 'epoch': 0.35}
{'loss': 0.3218, 'grad_norm': 0.06101071089506149, 'learning_rate': 0.0002, 'epoch': 0.36}
{'loss': 0.5589, 'grad_norm': 0.08037225157022476, 'learning_rate': 0.0002, 'epoch': 0.37}
{'loss': 0.4658, 'grad_norm': 0.07543843984603882, 'learning_rate': 0.0002, 'epoch': 0.37}
{'loss': 0.4314, 'grad_norm': 0.07748369872570038, 'learning_rate': 0.0002, 'epoch': 0.38}
{'loss': 0.3644, 'grad_norm': 0.07238171249628067, 'learning_rate': 0.0002, 'epoch': 0.39}
{'loss': 0.2812, 'grad_norm': 0.07888539880514145, 'learning_rate': 0.0002, 'epoch': 0.39}
{'loss': 0.5012, 'grad_norm': 0.08250954747200012, 'learning_rate': 0.0002, 'epoch': 0.4}
{'loss': 0.4953, 'grad_norm': 0.08213287591934204, 'learning_rate': 0.0002, 'epoch': 0.41}
{'loss': 0.428, 'grad_norm': 0.08431193977594376, 'learning_rate': 0.0002, 'epoch': 0.41}
{'loss': 0.3919, 'grad_norm': 0.07701245695352554, 'learning_rate': 0.0002, 'epoch': 0.42}
{'loss': 0.324, 'grad_norm': 0.06046496331691742, 'learning_rate': 0.0002, 'epoch': 0.43}
{'loss': 0.5193, 'grad_norm': 0.07370223850011826, 'learning_rate': 0.0002, 'epoch': 0.43}
{'loss': 0.4161, 'grad_norm': 0.08575942367315292, 'learning_rate': 0.0002, 'epoch': 0.44}
{'loss': 0.3761, 'grad_norm': 0.06552933901548386, 'learning_rate': 0.0002, 'epoch': 0.45}
{'loss': 0.3512, 'grad_norm': 0.07036890834569931, 'learning_rate': 0.0002, 'epoch': 0.45}
{'loss': 0.3075, 'grad_norm': 0.0660957619547844, 'learning_rate': 0.0002, 'epoch': 0.46}
{'loss': 0.5963, 'grad_norm': 0.08197033405303955, 'learning_rate': 0.0002, 'epoch': 0.47}
{'loss': 0.4308, 'grad_norm': 0.07675755769014359, 'learning_rate': 0.0002, 'epoch': 0.47}
{'loss': 0.4028, 'grad_norm': 0.08921487629413605, 'learning_rate': 0.0002, 'epoch': 0.48}
{'loss': 0.3495, 'grad_norm': 0.08873489499092102, 'learning_rate': 0.0002, 'epoch': 0.49}
{'loss': 0.3241, 'grad_norm': 0.06355729699134827, 'learning_rate': 0.0002, 'epoch': 0.49}
{'loss': 0.5085, 'grad_norm': 0.06979461014270782, 'learning_rate': 0.0002, 'epoch': 0.5}
{'loss': 0.456, 'grad_norm': 0.08598445355892181, 'learning_rate': 0.0002, 'epoch': 0.51}
{'loss': 0.388, 'grad_norm': 0.07816848158836365, 'learning_rate': 0.0002, 'epoch': 0.51}
{'loss': 0.3198, 'grad_norm': 0.06970780342817307, 'learning_rate': 0.0002, 'epoch': 0.52}
{'loss': 0.2751, 'grad_norm': 0.06269512325525284, 'learning_rate': 0.0002, 'epoch': 0.53}
{'loss': 0.5288, 'grad_norm': 0.079334557056427, 'learning_rate': 0.0002, 'epoch': 0.53}
