Running configuration: 
[2025-01-12 07:14:20,872][root][INFO] - Global seed set to 21
[2025-01-12 07:14:20,872][root][WARNING] - No quantisation will be done on loaded model, THIS IS A LORA FINE-TUNING RUN
[2025-01-12 07:14:20,872][root][WARNING] - Following flags are set for the run : 
 Use Quantisation before fine-tuning : False 
 Perform Validation on epoch end : False
[2025-01-12 07:14:20,872][root][INFO] - Running Fine-tuning on the all_domains_all_samples dataset
[2025-01-12 07:14:20,873][root][INFO] - Current training config is : 
 Prompt type : few_shot 
 Response type : answer_first 
 Explanation type : structured 
 Response Format : json 
[2025-01-12 07:14:29,368][root][INFO] - Loading dataset from /work/dlclarge1/fernandr-thesis_workspace/bar-llama/dataset/seed_dataset/distilled_dataset.json
[2025-01-12 07:14:29,382][root][INFO] - Dataset loaded successfully, indexing questions...
[2025-01-12 07:14:29,385][root][INFO] - Indexing complete, sampling of questions set to True
[2025-01-12 07:14:29,385][root][INFO] - Questions selected, dataset contains 1523 questions with 217.57142857142858 questions per domain
[2025-01-12 07:14:29,388][root][INFO] - Prompt Handler initialized with configuration: {'prompt_type': 'few_shot', 'example_path': '${hydra:runtime.cwd}/prompt/examples/structured_example.json', 'explanation_type': 'structured', 'response_type': 'answer_first', 'response_format': 'json', 'store_prompt': True, 'system_prompt': '${hydra:runtime.cwd}/prompt/system_prompt/system_${train.prompt.response_format}_${train.prompt.response_type}_${train.prompt.explanation_type}.txt', 'include_system_prompt': True}
The token has not been saved to the git credentials helper. Pass `add_to_git_credential=True` in this function directly or `--add-to-git-credential` if using via `huggingface-cli` if you want to set the git credential as well.
Token is valid (permission: write).
Your token has been saved to /home/fernandr/.cache/huggingface/token
Login successful
[2025-01-12 07:14:29,918][root][INFO] - Tokenizer meta-llama/Llama-2-7b-hf loaded successfully
[2025-01-12 07:14:32,470][root][INFO] - Model meta-llama/Llama-2-7b-hf loaded successfully
[2025-01-12 07:14:34,708][root][INFO] - Lora config loaded, following are the details : 
 LoraConfig(peft_type=<PeftType.LORA: 'LORA'>, auto_mapping=None, base_model_name_or_path=None, revision=None, task_type='CAUSAL_LM', inference_mode=False, r=128, target_modules={'q_proj', 'gate_proj', 'k_proj', 'v_proj', 'up_proj', 'down_proj', 'o_proj'}, lora_alpha=16, lora_dropout=0.5, fan_in_fan_out=False, bias='none', use_rslora=False, modules_to_save=None, init_lora_weights=True, layers_to_transform=None, layers_pattern=None, rank_pattern={}, alpha_pattern={}, megatron_config=None, megatron_core='megatron.core', loftq_config={}, use_dora=False, layer_replication=None)
[2025-01-12 07:14:37,103][root][INFO] - Lora adapter added to model
{'loss': 1.1202, 'grad_norm': 0.11350949853658676, 'learning_rate': 0.0002, 'epoch': 0.01}
{'loss': 0.6197, 'grad_norm': 0.10020294785499573, 'learning_rate': 0.0002, 'epoch': 0.01}
{'loss': 0.4432, 'grad_norm': 0.106434166431427, 'learning_rate': 0.0002, 'epoch': 0.02}
{'loss': 0.415, 'grad_norm': 0.06761334836483002, 'learning_rate': 0.0002, 'epoch': 0.03}
{'loss': 0.3706, 'grad_norm': 0.07034070789813995, 'learning_rate': 0.0002, 'epoch': 0.03}
{'loss': 0.6106, 'grad_norm': 0.07880982011556625, 'learning_rate': 0.0002, 'epoch': 0.04}
{'loss': 0.4705, 'grad_norm': 0.07240799069404602, 'learning_rate': 0.0002, 'epoch': 0.05}
{'loss': 0.4648, 'grad_norm': 0.07173574715852737, 'learning_rate': 0.0002, 'epoch': 0.05}
{'loss': 0.3708, 'grad_norm': 0.06194383651018143, 'learning_rate': 0.0002, 'epoch': 0.06}
{'loss': 0.3331, 'grad_norm': 0.06976163387298584, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 0.508, 'grad_norm': 0.07249587029218674, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 0.4733, 'grad_norm': 0.06678453832864761, 'learning_rate': 0.0002, 'epoch': 0.08}
{'loss': 0.4247, 'grad_norm': 0.0636858344078064, 'learning_rate': 0.0002, 'epoch': 0.09}
{'loss': 0.3571, 'grad_norm': 0.07349295914173126, 'learning_rate': 0.0002, 'epoch': 0.09}
{'loss': 0.2985, 'grad_norm': 0.06444387882947922, 'learning_rate': 0.0002, 'epoch': 0.1}
{'loss': 0.5384, 'grad_norm': 0.06375844031572342, 'learning_rate': 0.0002, 'epoch': 0.11}
{'loss': 0.5156, 'grad_norm': 0.07354389876127243, 'learning_rate': 0.0002, 'epoch': 0.11}
{'loss': 0.4204, 'grad_norm': 0.0688243880867958, 'learning_rate': 0.0002, 'epoch': 0.12}
{'loss': 0.3975, 'grad_norm': 0.07048454880714417, 'learning_rate': 0.0002, 'epoch': 0.12}
{'loss': 0.2969, 'grad_norm': 0.06837671250104904, 'learning_rate': 0.0002, 'epoch': 0.13}
{'loss': 0.5318, 'grad_norm': 0.0666898787021637, 'learning_rate': 0.0002, 'epoch': 0.14}
{'loss': 0.4338, 'grad_norm': 0.05565834790468216, 'learning_rate': 0.0002, 'epoch': 0.14}
{'loss': 0.4331, 'grad_norm': 0.05718429014086723, 'learning_rate': 0.0002, 'epoch': 0.15}
{'loss': 0.3942, 'grad_norm': 0.06197312846779823, 'learning_rate': 0.0002, 'epoch': 0.16}
{'loss': 0.2983, 'grad_norm': 0.057057227939367294, 'learning_rate': 0.0002, 'epoch': 0.16}
