Running configuration: 
[2025-01-12 07:20:19,866][root][INFO] - Global seed set to 21
[2025-01-12 07:20:19,866][root][WARNING] - No quantisation will be done on loaded model, THIS IS A LORA FINE-TUNING RUN
[2025-01-12 07:20:19,866][root][WARNING] - Following flags are set for the run : 
 Use Quantisation before fine-tuning : False 
 Perform Validation on epoch end : False
[2025-01-12 07:20:19,866][root][INFO] - Running Fine-tuning on the all_domains_all_samples dataset
[2025-01-12 07:20:19,867][root][INFO] - Current training config is : 
 Prompt type : few_shot 
 Response type : answer_first 
 Explanation type : structured 
 Response Format : json 
[2025-01-12 07:20:29,240][root][INFO] - Loading dataset from /work/dlclarge1/fernandr-thesis_workspace/bar-llama/dataset/seed_dataset/distilled_dataset.json
[2025-01-12 07:20:29,253][root][INFO] - Dataset loaded successfully, indexing questions...
[2025-01-12 07:20:29,256][root][INFO] - Indexing complete, sampling of questions set to True
[2025-01-12 07:20:29,256][root][INFO] - Questions selected, dataset contains 1523 questions with 217.57142857142858 questions per domain
[2025-01-12 07:20:29,259][root][INFO] - Prompt Handler initialized with configuration: {'prompt_type': 'few_shot', 'example_path': '${hydra:runtime.cwd}/prompt/examples/structured_example.json', 'explanation_type': 'structured', 'response_type': 'answer_first', 'response_format': 'json', 'store_prompt': True, 'system_prompt': '${hydra:runtime.cwd}/prompt/system_prompt/system_${train.prompt.response_format}_${train.prompt.response_type}_${train.prompt.explanation_type}.txt', 'include_system_prompt': True}
The token has not been saved to the git credentials helper. Pass `add_to_git_credential=True` in this function directly or `--add-to-git-credential` if using via `huggingface-cli` if you want to set the git credential as well.
Token is valid (permission: write).
Your token has been saved to /home/fernandr/.cache/huggingface/token
Login successful
[2025-01-12 07:20:29,713][root][INFO] - Tokenizer meta-llama/Llama-2-7b-hf loaded successfully
[2025-01-12 07:20:32,042][root][INFO] - Model meta-llama/Llama-2-7b-hf loaded successfully
[2025-01-12 07:20:34,286][root][INFO] - Lora config loaded, following are the details : 
 LoraConfig(peft_type=<PeftType.LORA: 'LORA'>, auto_mapping=None, base_model_name_or_path=None, revision=None, task_type='CAUSAL_LM', inference_mode=False, r=128, target_modules={'v_proj', 'gate_proj', 'k_proj', 'o_proj', 'down_proj', 'q_proj', 'up_proj'}, lora_alpha=16, lora_dropout=0.5, fan_in_fan_out=False, bias='none', use_rslora=False, modules_to_save=None, init_lora_weights=True, layers_to_transform=None, layers_pattern=None, rank_pattern={}, alpha_pattern={}, megatron_config=None, megatron_core='megatron.core', loftq_config={}, use_dora=False, layer_replication=None)
[2025-01-12 07:20:36,698][root][INFO] - Lora adapter added to model
{'loss': 1.1202, 'grad_norm': 0.11350954324007034, 'learning_rate': 0.0002, 'epoch': 0.01}
{'loss': 0.6197, 'grad_norm': 0.10020320117473602, 'learning_rate': 0.0002, 'epoch': 0.01}
{'loss': 0.4432, 'grad_norm': 0.10643425583839417, 'learning_rate': 0.0002, 'epoch': 0.02}
{'loss': 0.415, 'grad_norm': 0.06761249154806137, 'learning_rate': 0.0002, 'epoch': 0.03}
{'loss': 0.3706, 'grad_norm': 0.07033780217170715, 'learning_rate': 0.0002, 'epoch': 0.03}
{'loss': 0.6106, 'grad_norm': 0.07881602644920349, 'learning_rate': 0.0002, 'epoch': 0.04}
{'loss': 0.4705, 'grad_norm': 0.07242444157600403, 'learning_rate': 0.0002, 'epoch': 0.05}
{'loss': 0.4647, 'grad_norm': 0.07088054716587067, 'learning_rate': 0.0002, 'epoch': 0.05}
{'loss': 0.3708, 'grad_norm': 0.061844367533922195, 'learning_rate': 0.0002, 'epoch': 0.06}
{'loss': 0.3329, 'grad_norm': 0.06977474689483643, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 0.5078, 'grad_norm': 0.07194535434246063, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 0.4736, 'grad_norm': 0.0667606070637703, 'learning_rate': 0.0002, 'epoch': 0.08}
{'loss': 0.4246, 'grad_norm': 0.06222699582576752, 'learning_rate': 0.0002, 'epoch': 0.09}
{'loss': 0.358, 'grad_norm': 0.07554924488067627, 'learning_rate': 0.0002, 'epoch': 0.09}
{'loss': 0.2982, 'grad_norm': 0.06352514773607254, 'learning_rate': 0.0002, 'epoch': 0.1}
{'loss': 0.539, 'grad_norm': 0.06310337036848068, 'learning_rate': 0.0002, 'epoch': 0.11}
{'loss': 0.5155, 'grad_norm': 0.07449357211589813, 'learning_rate': 0.0002, 'epoch': 0.11}
{'loss': 0.4206, 'grad_norm': 0.06930587440729141, 'learning_rate': 0.0002, 'epoch': 0.12}
{'loss': 0.3978, 'grad_norm': 0.0683973878622055, 'learning_rate': 0.0002, 'epoch': 0.12}
{'loss': 0.2969, 'grad_norm': 0.06838686019182205, 'learning_rate': 0.0002, 'epoch': 0.13}
{'loss': 0.5316, 'grad_norm': 0.06660643965005875, 'learning_rate': 0.0002, 'epoch': 0.14}
{'loss': 0.4338, 'grad_norm': 0.05614318326115608, 'learning_rate': 0.0002, 'epoch': 0.14}
{'loss': 0.4337, 'grad_norm': 0.05851413682103157, 'learning_rate': 0.0002, 'epoch': 0.15}
{'loss': 0.3946, 'grad_norm': 0.06278350949287415, 'learning_rate': 0.0002, 'epoch': 0.16}
{'loss': 0.2984, 'grad_norm': 0.05736665055155754, 'learning_rate': 0.0002, 'epoch': 0.16}
{'loss': 0.5649, 'grad_norm': 0.06627649068832397, 'learning_rate': 0.0002, 'epoch': 0.17}
{'loss': 0.4783, 'grad_norm': 0.06693946570158005, 'learning_rate': 0.0002, 'epoch': 0.18}
{'loss': 0.4041, 'grad_norm': 0.07955504208803177, 'learning_rate': 0.0002, 'epoch': 0.18}
{'loss': 0.3692, 'grad_norm': 0.06089859828352928, 'learning_rate': 0.0002, 'epoch': 0.19}
{'loss': 0.3097, 'grad_norm': 0.05873892828822136, 'learning_rate': 0.0002, 'epoch': 0.2}
{'loss': 0.5509, 'grad_norm': 0.0679369643330574, 'learning_rate': 0.0002, 'epoch': 0.2}
{'loss': 0.4317, 'grad_norm': 0.07213900983333588, 'learning_rate': 0.0002, 'epoch': 0.21}
{'loss': 0.402, 'grad_norm': 0.07598213106393814, 'learning_rate': 0.0002, 'epoch': 0.22}
{'loss': 0.3644, 'grad_norm': 0.075102798640728, 'learning_rate': 0.0002, 'epoch': 0.22}
{'loss': 0.2797, 'grad_norm': 0.059055689722299576, 'learning_rate': 0.0002, 'epoch': 0.23}
{'loss': 0.5555, 'grad_norm': 0.07431475073099136, 'learning_rate': 0.0002, 'epoch': 0.24}
{'loss': 0.4784, 'grad_norm': 0.06923962384462357, 'learning_rate': 0.0002, 'epoch': 0.24}
{'loss': 0.3718, 'grad_norm': 0.05563531816005707, 'learning_rate': 0.0002, 'epoch': 0.25}
{'loss': 0.3513, 'grad_norm': 0.07098907232284546, 'learning_rate': 0.0002, 'epoch': 0.26}
{'loss': 0.311, 'grad_norm': 0.055688295513391495, 'learning_rate': 0.0002, 'epoch': 0.26}
{'loss': 0.5695, 'grad_norm': 0.07404879480600357, 'learning_rate': 0.0002, 'epoch': 0.27}
{'loss': 0.4511, 'grad_norm': 0.06266222894191742, 'learning_rate': 0.0002, 'epoch': 0.28}
{'loss': 0.4063, 'grad_norm': 0.08150798827409744, 'learning_rate': 0.0002, 'epoch': 0.28}
{'loss': 0.3868, 'grad_norm': 0.06679663062095642, 'learning_rate': 0.0002, 'epoch': 0.29}
{'loss': 0.2729, 'grad_norm': 0.06008784472942352, 'learning_rate': 0.0002, 'epoch': 0.3}
{'loss': 0.5238, 'grad_norm': 0.06093116104602814, 'learning_rate': 0.0002, 'epoch': 0.3}
{'loss': 0.4395, 'grad_norm': 0.06512852013111115, 'learning_rate': 0.0002, 'epoch': 0.31}
{'loss': 0.3979, 'grad_norm': 0.08186584711074829, 'learning_rate': 0.0002, 'epoch': 0.32}
{'loss': 0.3538, 'grad_norm': 0.0684792622923851, 'learning_rate': 0.0002, 'epoch': 0.32}
{'loss': 0.3267, 'grad_norm': 0.08007805794477463, 'learning_rate': 0.0002, 'epoch': 0.33}
{'loss': 0.5675, 'grad_norm': 0.07238186150789261, 'learning_rate': 0.0002, 'epoch': 0.33}
{'loss': 0.4744, 'grad_norm': 0.08392955362796783, 'learning_rate': 0.0002, 'epoch': 0.34}
{'loss': 0.451, 'grad_norm': 0.07850360870361328, 'learning_rate': 0.0002, 'epoch': 0.35}
{'loss': 0.3811, 'grad_norm': 0.10346274822950363, 'learning_rate': 0.0002, 'epoch': 0.35}
{'loss': 0.3222, 'grad_norm': 0.06022177264094353, 'learning_rate': 0.0002, 'epoch': 0.36}
{'loss': 0.5587, 'grad_norm': 0.08064164221286774, 'learning_rate': 0.0002, 'epoch': 0.37}
