Running configuration: 
[2025-01-12 07:25:25,458][root][INFO] - Global seed set to 21
[2025-01-12 07:25:25,458][root][WARNING] - No quantisation will be done on loaded model, THIS IS A LORA FINE-TUNING RUN
[2025-01-12 07:25:25,458][root][WARNING] - Following flags are set for the run : 
 Use Quantisation before fine-tuning : False 
 Perform Validation on epoch end : False
[2025-01-12 07:25:25,458][root][INFO] - Running Fine-tuning on the all_domains_all_samples dataset
[2025-01-12 07:25:25,458][root][INFO] - Current training config is : 
 Prompt type : few_shot 
 Response type : answer_first 
 Explanation type : structured 
 Response Format : json 
[2025-01-12 07:25:34,178][root][INFO] - Loading dataset from /work/dlclarge1/fernandr-thesis_workspace/bar-llama/dataset/seed_dataset/distilled_dataset.json
[2025-01-12 07:25:34,192][root][INFO] - Dataset loaded successfully, indexing questions...
[2025-01-12 07:25:34,194][root][INFO] - Indexing complete, sampling of questions set to True
[2025-01-12 07:25:34,194][root][INFO] - Questions selected, dataset contains 1523 questions with 217.57142857142858 questions per domain
[2025-01-12 07:25:34,198][root][INFO] - Prompt Handler initialized with configuration: {'prompt_type': 'few_shot', 'example_path': '${hydra:runtime.cwd}/prompt/examples/structured_example.json', 'explanation_type': 'structured', 'response_type': 'answer_first', 'response_format': 'json', 'store_prompt': True, 'system_prompt': '${hydra:runtime.cwd}/prompt/system_prompt/system_${train.prompt.response_format}_${train.prompt.response_type}_${train.prompt.explanation_type}.txt', 'include_system_prompt': True}
The token has not been saved to the git credentials helper. Pass `add_to_git_credential=True` in this function directly or `--add-to-git-credential` if using via `huggingface-cli` if you want to set the git credential as well.
Token is valid (permission: write).
Your token has been saved to /home/fernandr/.cache/huggingface/token
Login successful
[2025-01-12 07:25:34,622][root][INFO] - Tokenizer meta-llama/Llama-2-7b-hf loaded successfully
[2025-01-12 07:25:37,440][root][INFO] - Model meta-llama/Llama-2-7b-hf loaded successfully
[2025-01-12 07:25:39,720][root][INFO] - Lora config loaded, following are the details : 
 LoraConfig(peft_type=<PeftType.LORA: 'LORA'>, auto_mapping=None, base_model_name_or_path=None, revision=None, task_type='CAUSAL_LM', inference_mode=False, r=128, target_modules={'o_proj', 'k_proj', 'v_proj', 'down_proj', 'gate_proj', 'up_proj', 'q_proj'}, lora_alpha=16, lora_dropout=0.5, fan_in_fan_out=False, bias='none', use_rslora=False, modules_to_save=None, init_lora_weights=True, layers_to_transform=None, layers_pattern=None, rank_pattern={}, alpha_pattern={}, megatron_config=None, megatron_core='megatron.core', loftq_config={}, use_dora=False, layer_replication=None)
[2025-01-12 07:25:42,211][root][INFO] - Lora adapter added to model
{'loss': 1.1202, 'grad_norm': 0.11350946873426437, 'learning_rate': 0.0002, 'epoch': 0.01}
{'loss': 0.6197, 'grad_norm': 0.10020334273576736, 'learning_rate': 0.0002, 'epoch': 0.01}
{'loss': 0.4432, 'grad_norm': 0.10643405467271805, 'learning_rate': 0.0002, 'epoch': 0.02}
{'loss': 0.415, 'grad_norm': 0.06761322915554047, 'learning_rate': 0.0002, 'epoch': 0.03}
{'loss': 0.3706, 'grad_norm': 0.07033803313970566, 'learning_rate': 0.0002, 'epoch': 0.03}
{'loss': 0.6106, 'grad_norm': 0.07882077991962433, 'learning_rate': 0.0002, 'epoch': 0.04}
{'loss': 0.4705, 'grad_norm': 0.07244329899549484, 'learning_rate': 0.0002, 'epoch': 0.05}
{'loss': 0.4647, 'grad_norm': 0.07069988548755646, 'learning_rate': 0.0002, 'epoch': 0.05}
{'loss': 0.3707, 'grad_norm': 0.06182415038347244, 'learning_rate': 0.0002, 'epoch': 0.06}
{'loss': 0.3329, 'grad_norm': 0.06996068358421326, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 0.5078, 'grad_norm': 0.07176011055707932, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 0.4737, 'grad_norm': 0.06666474044322968, 'learning_rate': 0.0002, 'epoch': 0.08}
{'loss': 0.4245, 'grad_norm': 0.06219220533967018, 'learning_rate': 0.0002, 'epoch': 0.09}
{'loss': 0.3579, 'grad_norm': 0.07506360113620758, 'learning_rate': 0.0002, 'epoch': 0.09}
{'loss': 0.2983, 'grad_norm': 0.06397580355405807, 'learning_rate': 0.0002, 'epoch': 0.1}
{'loss': 0.5385, 'grad_norm': 0.06234729290008545, 'learning_rate': 0.0002, 'epoch': 0.11}
{'loss': 0.5152, 'grad_norm': 0.07703706622123718, 'learning_rate': 0.0002, 'epoch': 0.11}
{'loss': 0.4201, 'grad_norm': 0.06949499994516373, 'learning_rate': 0.0002, 'epoch': 0.12}
{'loss': 0.3979, 'grad_norm': 0.06922098994255066, 'learning_rate': 0.0002, 'epoch': 0.12}
{'loss': 0.2968, 'grad_norm': 0.0679280012845993, 'learning_rate': 0.0002, 'epoch': 0.13}
{'loss': 0.5311, 'grad_norm': 0.06553391367197037, 'learning_rate': 0.0002, 'epoch': 0.14}
{'loss': 0.4337, 'grad_norm': 0.05581827089190483, 'learning_rate': 0.0002, 'epoch': 0.14}
{'loss': 0.434, 'grad_norm': 0.057202596217393875, 'learning_rate': 0.0002, 'epoch': 0.15}
{'loss': 0.3946, 'grad_norm': 0.062443092465400696, 'learning_rate': 0.0002, 'epoch': 0.16}
{'loss': 0.2986, 'grad_norm': 0.0571250393986702, 'learning_rate': 0.0002, 'epoch': 0.16}
