Running configuration: 
[2025-01-11 21:24:51,623][root][INFO] - Global seed set to 21
[2025-01-11 21:24:51,624][root][WARNING] - No quantisation will be done on loaded model, THIS IS A LORA FINE-TUNING RUN
[2025-01-11 21:24:51,624][root][WARNING] - Following flags are set for the run : 
 Use Quantisation before fine-tuning : False 
 Perform Validation on epoch end : False
[2025-01-11 21:24:51,624][root][INFO] - Running Fine-tuning on the all_domains_all_samples dataset
[2025-01-11 21:24:51,624][root][INFO] - Current training config is : 
 Prompt type : few_shot 
 Response type : answer_first 
 Explanation type : structured 
 Response Format : json 
[2025-01-11 21:25:01,223][root][INFO] - Loading dataset from /work/dlclarge1/fernandr-thesis_workspace/bar-llama/dataset/seed_dataset/distilled_dataset.json
[2025-01-11 21:25:01,236][root][INFO] - Dataset loaded successfully, indexing questions...
[2025-01-11 21:25:01,239][root][INFO] - Indexing complete, sampling of questions set to True
[2025-01-11 21:25:01,239][root][INFO] - Questions selected, dataset contains 1523 questions with 217.57142857142858 questions per domain
[2025-01-11 21:25:01,242][root][INFO] - Prompt Handler initialized with configuration: {'prompt_type': 'few_shot', 'example_path': '${hydra:runtime.cwd}/prompt/examples/structured_example.json', 'explanation_type': 'structured', 'response_type': 'answer_first', 'response_format': 'json', 'store_prompt': True, 'system_prompt': '${hydra:runtime.cwd}/prompt/system_prompt/system_${train.prompt.response_format}_${train.prompt.response_type}_${train.prompt.explanation_type}.txt', 'include_system_prompt': True}
The token has not been saved to the git credentials helper. Pass `add_to_git_credential=True` in this function directly or `--add-to-git-credential` if using via `huggingface-cli` if you want to set the git credential as well.
Token is valid (permission: write).
Your token has been saved to /home/fernandr/.cache/huggingface/token
Login successful
[2025-01-11 21:25:01,789][root][INFO] - Tokenizer meta-llama/Llama-2-7b-hf loaded successfully
[2025-01-11 21:25:37,610][root][INFO] - Model meta-llama/Llama-2-7b-hf loaded successfully
[2025-01-11 21:25:39,948][root][INFO] - Lora config loaded, following are the details : 
 LoraConfig(peft_type=<PeftType.LORA: 'LORA'>, auto_mapping=None, base_model_name_or_path=None, revision=None, task_type='CAUSAL_LM', inference_mode=False, r=128, target_modules={'gate_proj', 'v_proj', 'up_proj', 'k_proj', 'q_proj', 'o_proj', 'down_proj'}, lora_alpha=16, lora_dropout=0.5, fan_in_fan_out=False, bias='none', use_rslora=False, modules_to_save=None, init_lora_weights=True, layers_to_transform=None, layers_pattern=None, rank_pattern={}, alpha_pattern={}, megatron_config=None, megatron_core='megatron.core', loftq_config={}, use_dora=False, layer_replication=None)
[2025-01-11 21:25:42,558][root][INFO] - Lora adapter added to model
{'loss': 1.1202, 'grad_norm': 0.11350957304239273, 'learning_rate': 0.0002, 'epoch': 0.01}
{'loss': 0.6197, 'grad_norm': 0.10020376741886139, 'learning_rate': 0.0002, 'epoch': 0.01}
{'loss': 0.4432, 'grad_norm': 0.10643415153026581, 'learning_rate': 0.0002, 'epoch': 0.02}
{'loss': 0.415, 'grad_norm': 0.06760918349027634, 'learning_rate': 0.0002, 'epoch': 0.03}
{'loss': 0.3706, 'grad_norm': 0.07033037394285202, 'learning_rate': 0.0002, 'epoch': 0.03}
{'loss': 0.6106, 'grad_norm': 0.07887697964906693, 'learning_rate': 0.0002, 'epoch': 0.04}
{'loss': 0.4705, 'grad_norm': 0.07272490859031677, 'learning_rate': 0.0002, 'epoch': 0.05}
{'loss': 0.4648, 'grad_norm': 0.07136955857276917, 'learning_rate': 0.0002, 'epoch': 0.05}
{'loss': 0.3708, 'grad_norm': 0.06225810572504997, 'learning_rate': 0.0002, 'epoch': 0.06}
{'loss': 0.3331, 'grad_norm': 0.06965962797403336, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 0.5085, 'grad_norm': 0.07454432547092438, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 0.4732, 'grad_norm': 0.06714357435703278, 'learning_rate': 0.0002, 'epoch': 0.08}
{'loss': 0.4247, 'grad_norm': 0.06295175105333328, 'learning_rate': 0.0002, 'epoch': 0.09}
{'loss': 0.3579, 'grad_norm': 0.07506796717643738, 'learning_rate': 0.0002, 'epoch': 0.09}
{'loss': 0.2987, 'grad_norm': 0.06467386335134506, 'learning_rate': 0.0002, 'epoch': 0.1}
{'loss': 0.5385, 'grad_norm': 0.061591628938913345, 'learning_rate': 0.0002, 'epoch': 0.11}
{'loss': 0.5152, 'grad_norm': 0.07155134528875351, 'learning_rate': 0.0002, 'epoch': 0.11}
{'loss': 0.4203, 'grad_norm': 0.06960374861955643, 'learning_rate': 0.0002, 'epoch': 0.12}
{'loss': 0.3981, 'grad_norm': 0.06997422128915787, 'learning_rate': 0.0002, 'epoch': 0.12}
{'loss': 0.297, 'grad_norm': 0.06790144741535187, 'learning_rate': 0.0002, 'epoch': 0.13}
{'loss': 0.5317, 'grad_norm': 0.06622686982154846, 'learning_rate': 0.0002, 'epoch': 0.14}
{'loss': 0.4339, 'grad_norm': 0.05509629100561142, 'learning_rate': 0.0002, 'epoch': 0.14}
{'loss': 0.4337, 'grad_norm': 0.05595695972442627, 'learning_rate': 0.0002, 'epoch': 0.15}
{'loss': 0.3944, 'grad_norm': 0.06209513917565346, 'learning_rate': 0.0002, 'epoch': 0.16}
{'loss': 0.2986, 'grad_norm': 0.05695513263344765, 'learning_rate': 0.0002, 'epoch': 0.16}
{'loss': 0.565, 'grad_norm': 0.06648638099431992, 'learning_rate': 0.0002, 'epoch': 0.17}
{'loss': 0.4784, 'grad_norm': 0.06603295356035233, 'learning_rate': 0.0002, 'epoch': 0.18}
{'loss': 0.404, 'grad_norm': 0.0790989026427269, 'learning_rate': 0.0002, 'epoch': 0.18}
{'loss': 0.3694, 'grad_norm': 0.06027911230921745, 'learning_rate': 0.0002, 'epoch': 0.19}
{'loss': 0.3095, 'grad_norm': 0.057860467582941055, 'learning_rate': 0.0002, 'epoch': 0.2}
{'loss': 0.5512, 'grad_norm': 0.06799037009477615, 'learning_rate': 0.0002, 'epoch': 0.2}
{'loss': 0.4312, 'grad_norm': 0.0721491351723671, 'learning_rate': 0.0002, 'epoch': 0.21}
{'loss': 0.402, 'grad_norm': 0.07713633030653, 'learning_rate': 0.0002, 'epoch': 0.22}
{'loss': 0.3645, 'grad_norm': 0.07542449235916138, 'learning_rate': 0.0002, 'epoch': 0.22}
{'loss': 0.2788, 'grad_norm': 0.05911718308925629, 'learning_rate': 0.0002, 'epoch': 0.23}
{'loss': 0.5562, 'grad_norm': 0.07516643404960632, 'learning_rate': 0.0002, 'epoch': 0.24}
{'loss': 0.4782, 'grad_norm': 0.06876232475042343, 'learning_rate': 0.0002, 'epoch': 0.24}
{'loss': 0.3722, 'grad_norm': 0.05630042776465416, 'learning_rate': 0.0002, 'epoch': 0.25}
{'loss': 0.3514, 'grad_norm': 0.07136473804712296, 'learning_rate': 0.0002, 'epoch': 0.26}
{'loss': 0.3106, 'grad_norm': 0.05538065731525421, 'learning_rate': 0.0002, 'epoch': 0.26}
{'loss': 0.57, 'grad_norm': 0.07409841567277908, 'learning_rate': 0.0002, 'epoch': 0.27}
{'loss': 0.4519, 'grad_norm': 0.063278928399086, 'learning_rate': 0.0002, 'epoch': 0.28}
{'loss': 0.4061, 'grad_norm': 0.08009203523397446, 'learning_rate': 0.0002, 'epoch': 0.28}
{'loss': 0.3863, 'grad_norm': 0.06608010083436966, 'learning_rate': 0.0002, 'epoch': 0.29}
{'loss': 0.2729, 'grad_norm': 0.062163013964891434, 'learning_rate': 0.0002, 'epoch': 0.3}
{'loss': 0.5232, 'grad_norm': 0.06120266020298004, 'learning_rate': 0.0002, 'epoch': 0.3}
{'loss': 0.439, 'grad_norm': 0.06627216190099716, 'learning_rate': 0.0002, 'epoch': 0.31}
{'loss': 0.3969, 'grad_norm': 0.08214902132749557, 'learning_rate': 0.0002, 'epoch': 0.32}
{'loss': 0.3536, 'grad_norm': 0.06785481423139572, 'learning_rate': 0.0002, 'epoch': 0.32}
{'loss': 0.3268, 'grad_norm': 0.07922504842281342, 'learning_rate': 0.0002, 'epoch': 0.33}
{'loss': 0.5669, 'grad_norm': 0.0703015923500061, 'learning_rate': 0.0002, 'epoch': 0.33}
{'loss': 0.4747, 'grad_norm': 0.08451475948095322, 'learning_rate': 0.0002, 'epoch': 0.34}
{'loss': 0.4507, 'grad_norm': 0.07988695800304413, 'learning_rate': 0.0002, 'epoch': 0.35}
{'loss': 0.3811, 'grad_norm': 0.10265246033668518, 'learning_rate': 0.0002, 'epoch': 0.35}
{'loss': 0.3223, 'grad_norm': 0.062411002814769745, 'learning_rate': 0.0002, 'epoch': 0.36}
{'loss': 0.5599, 'grad_norm': 0.0812847837805748, 'learning_rate': 0.0002, 'epoch': 0.37}
{'loss': 0.4656, 'grad_norm': 0.07370571792125702, 'learning_rate': 0.0002, 'epoch': 0.37}
