Running configuration: 
[2025-01-11 21:24:51,623][root][INFO] - Global seed set to 21
[2025-01-11 21:24:51,624][root][WARNING] - No quantisation will be done on loaded model, THIS IS A LORA FINE-TUNING RUN
[2025-01-11 21:24:51,624][root][WARNING] - Following flags are set for the run : 
 Use Quantisation before fine-tuning : False 
 Perform Validation on epoch end : False
[2025-01-11 21:24:51,624][root][INFO] - Running Fine-tuning on the all_domains_all_samples dataset
[2025-01-11 21:24:51,624][root][INFO] - Current training config is : 
 Prompt type : few_shot 
 Response type : answer_first 
 Explanation type : structured 
 Response Format : json 
[2025-01-11 21:25:01,205][root][INFO] - Loading dataset from /work/dlclarge1/fernandr-thesis_workspace/bar-llama/dataset/seed_dataset/distilled_dataset.json
[2025-01-11 21:25:01,222][root][INFO] - Dataset loaded successfully, indexing questions...
[2025-01-11 21:25:01,228][root][INFO] - Indexing complete, sampling of questions set to True
[2025-01-11 21:25:01,228][root][INFO] - Questions selected, dataset contains 1523 questions with 217.57142857142858 questions per domain
[2025-01-11 21:25:01,232][root][INFO] - Prompt Handler initialized with configuration: {'prompt_type': 'few_shot', 'example_path': '${hydra:runtime.cwd}/prompt/examples/structured_example.json', 'explanation_type': 'structured', 'response_type': 'answer_first', 'response_format': 'json', 'store_prompt': True, 'system_prompt': '${hydra:runtime.cwd}/prompt/system_prompt/system_${train.prompt.response_format}_${train.prompt.response_type}_${train.prompt.explanation_type}.txt', 'include_system_prompt': True}
The token has not been saved to the git credentials helper. Pass `add_to_git_credential=True` in this function directly or `--add-to-git-credential` if using via `huggingface-cli` if you want to set the git credential as well.
Token is valid (permission: write).
Your token has been saved to /home/fernandr/.cache/huggingface/token
Login successful
[2025-01-11 21:25:01,789][root][INFO] - Tokenizer meta-llama/Llama-2-7b-hf loaded successfully
[2025-01-11 21:25:37,679][root][INFO] - Model meta-llama/Llama-2-7b-hf loaded successfully
[2025-01-11 21:25:39,980][root][INFO] - Lora config loaded, following are the details : 
 LoraConfig(peft_type=<PeftType.LORA: 'LORA'>, auto_mapping=None, base_model_name_or_path=None, revision=None, task_type='CAUSAL_LM', inference_mode=False, r=128, target_modules={'up_proj', 'o_proj', 'v_proj', 'down_proj', 'k_proj', 'gate_proj', 'q_proj'}, lora_alpha=16, lora_dropout=0.5, fan_in_fan_out=False, bias='none', use_rslora=False, modules_to_save=None, init_lora_weights=True, layers_to_transform=None, layers_pattern=None, rank_pattern={}, alpha_pattern={}, megatron_config=None, megatron_core='megatron.core', loftq_config={}, use_dora=False, layer_replication=None)
[2025-01-11 21:25:42,611][root][INFO] - Lora adapter added to model
{'loss': 1.1202, 'grad_norm': 0.11350955069065094, 'learning_rate': 0.0002, 'epoch': 0.01}
{'loss': 0.6197, 'grad_norm': 0.10020361095666885, 'learning_rate': 0.0002, 'epoch': 0.01}
{'loss': 0.4432, 'grad_norm': 0.10643403977155685, 'learning_rate': 0.0002, 'epoch': 0.02}
{'loss': 0.415, 'grad_norm': 0.06761303544044495, 'learning_rate': 0.0002, 'epoch': 0.03}
{'loss': 0.3706, 'grad_norm': 0.07033789157867432, 'learning_rate': 0.0002, 'epoch': 0.03}
{'loss': 0.6107, 'grad_norm': 0.07887212932109833, 'learning_rate': 0.0002, 'epoch': 0.04}
{'loss': 0.4705, 'grad_norm': 0.07243320345878601, 'learning_rate': 0.0002, 'epoch': 0.05}
{'loss': 0.4647, 'grad_norm': 0.07059543579816818, 'learning_rate': 0.0002, 'epoch': 0.05}
{'loss': 0.3708, 'grad_norm': 0.06178303062915802, 'learning_rate': 0.0002, 'epoch': 0.06}
{'loss': 0.3329, 'grad_norm': 0.06994284689426422, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 0.5078, 'grad_norm': 0.07173116505146027, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 0.4737, 'grad_norm': 0.0667310282588005, 'learning_rate': 0.0002, 'epoch': 0.08}
{'loss': 0.4246, 'grad_norm': 0.06254953891038895, 'learning_rate': 0.0002, 'epoch': 0.09}
{'loss': 0.358, 'grad_norm': 0.07568436115980148, 'learning_rate': 0.0002, 'epoch': 0.09}
{'loss': 0.2984, 'grad_norm': 0.06410951912403107, 'learning_rate': 0.0002, 'epoch': 0.1}
{'loss': 0.5383, 'grad_norm': 0.06255020201206207, 'learning_rate': 0.0002, 'epoch': 0.11}
{'loss': 0.5152, 'grad_norm': 0.0774146243929863, 'learning_rate': 0.0002, 'epoch': 0.11}
{'loss': 0.4204, 'grad_norm': 0.06990095227956772, 'learning_rate': 0.0002, 'epoch': 0.12}
{'loss': 0.398, 'grad_norm': 0.06948569416999817, 'learning_rate': 0.0002, 'epoch': 0.12}
{'loss': 0.2967, 'grad_norm': 0.06801818311214447, 'learning_rate': 0.0002, 'epoch': 0.13}
{'loss': 0.5313, 'grad_norm': 0.06551294773817062, 'learning_rate': 0.0002, 'epoch': 0.14}
{'loss': 0.4337, 'grad_norm': 0.05571562051773071, 'learning_rate': 0.0002, 'epoch': 0.14}
{'loss': 0.4339, 'grad_norm': 0.057471223175525665, 'learning_rate': 0.0002, 'epoch': 0.15}
{'loss': 0.3944, 'grad_norm': 0.0619991272687912, 'learning_rate': 0.0002, 'epoch': 0.16}
{'loss': 0.2986, 'grad_norm': 0.0570354200899601, 'learning_rate': 0.0002, 'epoch': 0.16}
