Running configuration: 
[2025-01-11 21:24:51,626][root][INFO] - Global seed set to 21
[2025-01-11 21:24:51,626][root][WARNING] - No quantisation will be done on loaded model, THIS IS A LORA FINE-TUNING RUN
[2025-01-11 21:24:51,626][root][WARNING] - Following flags are set for the run : 
 Use Quantisation before fine-tuning : False 
 Perform Validation on epoch end : False
[2025-01-11 21:24:51,626][root][INFO] - Running Fine-tuning on the all_domains_all_samples dataset
[2025-01-11 21:24:51,626][root][INFO] - Current training config is : 
 Prompt type : few_shot 
 Response type : answer_first 
 Explanation type : structured 
 Response Format : json 
[2025-01-11 21:25:01,028][root][INFO] - Loading dataset from /work/dlclarge1/fernandr-thesis_workspace/bar-llama/dataset/seed_dataset/distilled_dataset.json
[2025-01-11 21:25:01,061][root][INFO] - Dataset loaded successfully, indexing questions...
[2025-01-11 21:25:01,142][root][INFO] - Indexing complete, sampling of questions set to True
[2025-01-11 21:25:01,143][root][INFO] - Questions selected, dataset contains 1523 questions with 217.57142857142858 questions per domain
[2025-01-11 21:25:01,147][root][INFO] - Prompt Handler initialized with configuration: {'prompt_type': 'few_shot', 'example_path': '${hydra:runtime.cwd}/prompt/examples/structured_example.json', 'explanation_type': 'structured', 'response_type': 'answer_first', 'response_format': 'json', 'store_prompt': True, 'system_prompt': '${hydra:runtime.cwd}/prompt/system_prompt/system_${train.prompt.response_format}_${train.prompt.response_type}_${train.prompt.explanation_type}.txt', 'include_system_prompt': True}
The token has not been saved to the git credentials helper. Pass `add_to_git_credential=True` in this function directly or `--add-to-git-credential` if using via `huggingface-cli` if you want to set the git credential as well.
Token is valid (permission: write).
Your token has been saved to /home/fernandr/.cache/huggingface/token
Login successful
[2025-01-11 21:25:01,790][root][INFO] - Tokenizer meta-llama/Llama-2-7b-hf loaded successfully
[2025-01-11 21:25:37,699][root][INFO] - Model meta-llama/Llama-2-7b-hf loaded successfully
[2025-01-11 21:25:39,986][root][INFO] - Lora config loaded, following are the details : 
 LoraConfig(peft_type=<PeftType.LORA: 'LORA'>, auto_mapping=None, base_model_name_or_path=None, revision=None, task_type='CAUSAL_LM', inference_mode=False, r=128, target_modules={'up_proj', 'gate_proj', 'down_proj', 'o_proj', 'v_proj', 'q_proj', 'k_proj'}, lora_alpha=16, lora_dropout=0.5, fan_in_fan_out=False, bias='none', use_rslora=False, modules_to_save=None, init_lora_weights=True, layers_to_transform=None, layers_pattern=None, rank_pattern={}, alpha_pattern={}, megatron_config=None, megatron_core='megatron.core', loftq_config={}, use_dora=False, layer_replication=None)
[2025-01-11 21:25:42,565][root][INFO] - Lora adapter added to model
{'loss': 1.1202, 'grad_norm': 0.11350952088832855, 'learning_rate': 0.0002, 'epoch': 0.01}
{'loss': 0.6197, 'grad_norm': 0.10020317137241364, 'learning_rate': 0.0002, 'epoch': 0.01}
{'loss': 0.4432, 'grad_norm': 0.10643447935581207, 'learning_rate': 0.0002, 'epoch': 0.02}
{'loss': 0.415, 'grad_norm': 0.06760869175195694, 'learning_rate': 0.0002, 'epoch': 0.03}
{'loss': 0.3706, 'grad_norm': 0.07032572478055954, 'learning_rate': 0.0002, 'epoch': 0.03}
{'loss': 0.6106, 'grad_norm': 0.07878293842077255, 'learning_rate': 0.0002, 'epoch': 0.04}
{'loss': 0.4705, 'grad_norm': 0.07210016995668411, 'learning_rate': 0.0002, 'epoch': 0.05}
{'loss': 0.4647, 'grad_norm': 0.07086794823408127, 'learning_rate': 0.0002, 'epoch': 0.05}
{'loss': 0.3708, 'grad_norm': 0.06148664280772209, 'learning_rate': 0.0002, 'epoch': 0.06}
{'loss': 0.3328, 'grad_norm': 0.07100001722574234, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 0.5077, 'grad_norm': 0.07235614210367203, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 0.4739, 'grad_norm': 0.06627694517374039, 'learning_rate': 0.0002, 'epoch': 0.08}
{'loss': 0.4244, 'grad_norm': 0.06272512674331665, 'learning_rate': 0.0002, 'epoch': 0.09}
{'loss': 0.3574, 'grad_norm': 0.07374832034111023, 'learning_rate': 0.0002, 'epoch': 0.09}
{'loss': 0.2982, 'grad_norm': 0.06441390514373779, 'learning_rate': 0.0002, 'epoch': 0.1}
{'loss': 0.5391, 'grad_norm': 0.06381890177726746, 'learning_rate': 0.0002, 'epoch': 0.11}
{'loss': 0.5154, 'grad_norm': 0.07618436962366104, 'learning_rate': 0.0002, 'epoch': 0.11}
{'loss': 0.4204, 'grad_norm': 0.0689840018749237, 'learning_rate': 0.0002, 'epoch': 0.12}
{'loss': 0.3978, 'grad_norm': 0.06960323452949524, 'learning_rate': 0.0002, 'epoch': 0.12}
{'loss': 0.2969, 'grad_norm': 0.06883461028337479, 'learning_rate': 0.0002, 'epoch': 0.13}
{'loss': 0.5311, 'grad_norm': 0.06556522846221924, 'learning_rate': 0.0002, 'epoch': 0.14}
{'loss': 0.4339, 'grad_norm': 0.05662268400192261, 'learning_rate': 0.0002, 'epoch': 0.14}
{'loss': 0.4336, 'grad_norm': 0.05685792863368988, 'learning_rate': 0.0002, 'epoch': 0.15}
{'loss': 0.3945, 'grad_norm': 0.06242255121469498, 'learning_rate': 0.0002, 'epoch': 0.16}
{'loss': 0.2984, 'grad_norm': 0.056877251714468, 'learning_rate': 0.0002, 'epoch': 0.16}
{'loss': 0.5644, 'grad_norm': 0.06651092320680618, 'learning_rate': 0.0002, 'epoch': 0.17}
{'loss': 0.4784, 'grad_norm': 0.06623248010873795, 'learning_rate': 0.0002, 'epoch': 0.18}
{'loss': 0.404, 'grad_norm': 0.0790916457772255, 'learning_rate': 0.0002, 'epoch': 0.18}
{'loss': 0.3692, 'grad_norm': 0.06084315478801727, 'learning_rate': 0.0002, 'epoch': 0.19}
{'loss': 0.3096, 'grad_norm': 0.06014220416545868, 'learning_rate': 0.0002, 'epoch': 0.2}
{'loss': 0.5513, 'grad_norm': 0.0678960457444191, 'learning_rate': 0.0002, 'epoch': 0.2}
{'loss': 0.4314, 'grad_norm': 0.07179808616638184, 'learning_rate': 0.0002, 'epoch': 0.21}
{'loss': 0.4024, 'grad_norm': 0.07855135947465897, 'learning_rate': 0.0002, 'epoch': 0.22}
{'loss': 0.3643, 'grad_norm': 0.07379976660013199, 'learning_rate': 0.0002, 'epoch': 0.22}
{'loss': 0.2789, 'grad_norm': 0.058868907392024994, 'learning_rate': 0.0002, 'epoch': 0.23}
{'loss': 0.5565, 'grad_norm': 0.07563141733407974, 'learning_rate': 0.0002, 'epoch': 0.24}
{'loss': 0.4785, 'grad_norm': 0.06875784695148468, 'learning_rate': 0.0002, 'epoch': 0.24}
{'loss': 0.3717, 'grad_norm': 0.056206654757261276, 'learning_rate': 0.0002, 'epoch': 0.25}
{'loss': 0.3514, 'grad_norm': 0.07191283255815506, 'learning_rate': 0.0002, 'epoch': 0.26}
{'loss': 0.3108, 'grad_norm': 0.055829763412475586, 'learning_rate': 0.0002, 'epoch': 0.26}
{'loss': 0.5701, 'grad_norm': 0.07302733510732651, 'learning_rate': 0.0002, 'epoch': 0.27}
{'loss': 0.4513, 'grad_norm': 0.06208806112408638, 'learning_rate': 0.0002, 'epoch': 0.28}
{'loss': 0.4065, 'grad_norm': 0.08081737160682678, 'learning_rate': 0.0002, 'epoch': 0.28}
{'loss': 0.3867, 'grad_norm': 0.06701557338237762, 'learning_rate': 0.0002, 'epoch': 0.29}
{'loss': 0.273, 'grad_norm': 0.06124027073383331, 'learning_rate': 0.0002, 'epoch': 0.3}
{'loss': 0.5231, 'grad_norm': 0.060131341218948364, 'learning_rate': 0.0002, 'epoch': 0.3}
{'loss': 0.4393, 'grad_norm': 0.06575141102075577, 'learning_rate': 0.0002, 'epoch': 0.31}
{'loss': 0.3975, 'grad_norm': 0.08178719133138657, 'learning_rate': 0.0002, 'epoch': 0.32}
{'loss': 0.3535, 'grad_norm': 0.06805495172739029, 'learning_rate': 0.0002, 'epoch': 0.32}
{'loss': 0.3268, 'grad_norm': 0.08191672712564468, 'learning_rate': 0.0002, 'epoch': 0.33}
{'loss': 0.567, 'grad_norm': 0.07069166004657745, 'learning_rate': 0.0002, 'epoch': 0.33}
{'loss': 0.4748, 'grad_norm': 0.0854649469256401, 'learning_rate': 0.0002, 'epoch': 0.34}
{'loss': 0.4508, 'grad_norm': 0.07766733318567276, 'learning_rate': 0.0002, 'epoch': 0.35}
{'loss': 0.3809, 'grad_norm': 0.10380767285823822, 'learning_rate': 0.0002, 'epoch': 0.35}
{'loss': 0.3221, 'grad_norm': 0.05997621640563011, 'learning_rate': 0.0002, 'epoch': 0.36}
{'loss': 0.5593, 'grad_norm': 0.08110223710536957, 'learning_rate': 0.0002, 'epoch': 0.37}
{'loss': 0.4659, 'grad_norm': 0.07228122651576996, 'learning_rate': 0.0002, 'epoch': 0.37}
{'loss': 0.431, 'grad_norm': 0.07756061851978302, 'learning_rate': 0.0002, 'epoch': 0.38}
{'loss': 0.3646, 'grad_norm': 0.07163866609334946, 'learning_rate': 0.0002, 'epoch': 0.39}
{'loss': 0.2819, 'grad_norm': 0.07883812487125397, 'learning_rate': 0.0002, 'epoch': 0.39}
{'loss': 0.5003, 'grad_norm': 0.08242272585630417, 'learning_rate': 0.0002, 'epoch': 0.4}
{'loss': 0.4951, 'grad_norm': 0.08169115334749222, 'learning_rate': 0.0002, 'epoch': 0.41}
{'loss': 0.4284, 'grad_norm': 0.08408240973949432, 'learning_rate': 0.0002, 'epoch': 0.41}
{'loss': 0.3917, 'grad_norm': 0.07723405957221985, 'learning_rate': 0.0002, 'epoch': 0.42}
{'loss': 0.3243, 'grad_norm': 0.0601874515414238, 'learning_rate': 0.0002, 'epoch': 0.43}
{'loss': 0.5197, 'grad_norm': 0.07369531691074371, 'learning_rate': 0.0002, 'epoch': 0.43}
{'loss': 0.4161, 'grad_norm': 0.08544830232858658, 'learning_rate': 0.0002, 'epoch': 0.44}
{'loss': 0.3763, 'grad_norm': 0.06505182385444641, 'learning_rate': 0.0002, 'epoch': 0.45}
{'loss': 0.3508, 'grad_norm': 0.07053446769714355, 'learning_rate': 0.0002, 'epoch': 0.45}
{'loss': 0.3073, 'grad_norm': 0.06590661406517029, 'learning_rate': 0.0002, 'epoch': 0.46}
{'loss': 0.5966, 'grad_norm': 0.08168546855449677, 'learning_rate': 0.0002, 'epoch': 0.47}
{'loss': 0.4311, 'grad_norm': 0.07546378672122955, 'learning_rate': 0.0002, 'epoch': 0.47}
{'loss': 0.4024, 'grad_norm': 0.08784391731023788, 'learning_rate': 0.0002, 'epoch': 0.48}
{'loss': 0.3492, 'grad_norm': 0.07343924045562744, 'learning_rate': 0.0002, 'epoch': 0.49}
{'loss': 0.3237, 'grad_norm': 0.06383178383111954, 'learning_rate': 0.0002, 'epoch': 0.49}
