Running configuration: 
[2025-01-12 02:14:42,577][root][INFO] - Global seed set to 21
[2025-01-12 02:14:42,577][root][WARNING] - No quantisation will be done on loaded model, THIS IS A LORA FINE-TUNING RUN
[2025-01-12 02:14:42,577][root][WARNING] - Following flags are set for the run : 
 Use Quantisation before fine-tuning : False 
 Perform Validation on epoch end : False
[2025-01-12 02:14:42,577][root][INFO] - Running Fine-tuning on the all_domains_all_samples dataset
[2025-01-12 02:14:42,577][root][INFO] - Current training config is : 
 Prompt type : few_shot 
 Response type : answer_first 
 Explanation type : structured 
 Response Format : json 
[2025-01-12 02:15:00,449][root][INFO] - Loading dataset from /work/dlclarge1/fernandr-thesis_workspace/bar-llama/dataset/seed_dataset/distilled_dataset.json
[2025-01-12 02:15:00,463][root][INFO] - Dataset loaded successfully, indexing questions...
[2025-01-12 02:15:00,570][root][INFO] - Indexing complete, sampling of questions set to True
[2025-01-12 02:15:00,571][root][INFO] - Questions selected, dataset contains 1523 questions with 217.57142857142858 questions per domain
[2025-01-12 02:15:00,577][root][INFO] - Prompt Handler initialized with configuration: {'prompt_type': 'few_shot', 'example_path': '${hydra:runtime.cwd}/prompt/examples/structured_example.json', 'explanation_type': 'structured', 'response_type': 'answer_first', 'response_format': 'json', 'store_prompt': True, 'system_prompt': '${hydra:runtime.cwd}/prompt/system_prompt/system_${train.prompt.response_format}_${train.prompt.response_type}_${train.prompt.explanation_type}.txt', 'include_system_prompt': True}
The token has not been saved to the git credentials helper. Pass `add_to_git_credential=True` in this function directly or `--add-to-git-credential` if using via `huggingface-cli` if you want to set the git credential as well.
Token is valid (permission: write).
Your token has been saved to /home/fernandr/.cache/huggingface/token
Login successful
[2025-01-12 02:15:01,395][root][INFO] - Tokenizer meta-llama/Llama-2-7b-hf loaded successfully
[2025-01-12 02:15:29,697][root][INFO] - Model meta-llama/Llama-2-7b-hf loaded successfully
[2025-01-12 02:15:32,118][root][INFO] - Lora config loaded, following are the details : 
 LoraConfig(peft_type=<PeftType.LORA: 'LORA'>, auto_mapping=None, base_model_name_or_path=None, revision=None, task_type='CAUSAL_LM', inference_mode=False, r=128, target_modules={'up_proj', 'k_proj', 'o_proj', 'v_proj', 'down_proj', 'gate_proj', 'q_proj'}, lora_alpha=16, lora_dropout=0.5, fan_in_fan_out=False, bias='none', use_rslora=False, modules_to_save=None, init_lora_weights=True, layers_to_transform=None, layers_pattern=None, rank_pattern={}, alpha_pattern={}, megatron_config=None, megatron_core='megatron.core', loftq_config={}, use_dora=False, layer_replication=None)
[2025-01-12 02:15:35,366][root][INFO] - Lora adapter added to model
{'loss': 1.1202, 'grad_norm': 0.11350955069065094, 'learning_rate': 0.0002, 'epoch': 0.01}
{'loss': 0.6197, 'grad_norm': 0.10020309686660767, 'learning_rate': 0.0002, 'epoch': 0.01}
{'loss': 0.4432, 'grad_norm': 0.10643453150987625, 'learning_rate': 0.0002, 'epoch': 0.02}
{'loss': 0.415, 'grad_norm': 0.06761179119348526, 'learning_rate': 0.0002, 'epoch': 0.03}
{'loss': 0.3706, 'grad_norm': 0.07033579051494598, 'learning_rate': 0.0002, 'epoch': 0.03}
{'loss': 0.6106, 'grad_norm': 0.07879196852445602, 'learning_rate': 0.0002, 'epoch': 0.04}
{'loss': 0.4705, 'grad_norm': 0.07218559086322784, 'learning_rate': 0.0002, 'epoch': 0.05}
{'loss': 0.4647, 'grad_norm': 0.07079143822193146, 'learning_rate': 0.0002, 'epoch': 0.05}
{'loss': 0.3708, 'grad_norm': 0.06157970428466797, 'learning_rate': 0.0002, 'epoch': 0.06}
{'loss': 0.3329, 'grad_norm': 0.07052712142467499, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 0.5078, 'grad_norm': 0.07226530462503433, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 0.4736, 'grad_norm': 0.06631353497505188, 'learning_rate': 0.0002, 'epoch': 0.08}
{'loss': 0.4244, 'grad_norm': 0.062230970710515976, 'learning_rate': 0.0002, 'epoch': 0.09}
{'loss': 0.3576, 'grad_norm': 0.0749625638127327, 'learning_rate': 0.0002, 'epoch': 0.09}
{'loss': 0.2982, 'grad_norm': 0.06324968487024307, 'learning_rate': 0.0002, 'epoch': 0.1}
{'loss': 0.5387, 'grad_norm': 0.0624098926782608, 'learning_rate': 0.0002, 'epoch': 0.11}
{'loss': 0.5153, 'grad_norm': 0.07609660178422928, 'learning_rate': 0.0002, 'epoch': 0.11}
{'loss': 0.4204, 'grad_norm': 0.0691855251789093, 'learning_rate': 0.0002, 'epoch': 0.12}
{'loss': 0.3979, 'grad_norm': 0.06928371638059616, 'learning_rate': 0.0002, 'epoch': 0.12}
{'loss': 0.297, 'grad_norm': 0.0688694640994072, 'learning_rate': 0.0002, 'epoch': 0.13}
{'loss': 0.5311, 'grad_norm': 0.06544797867536545, 'learning_rate': 0.0002, 'epoch': 0.14}
{'loss': 0.4336, 'grad_norm': 0.056147802621126175, 'learning_rate': 0.0002, 'epoch': 0.14}
{'loss': 0.4337, 'grad_norm': 0.05744243785738945, 'learning_rate': 0.0002, 'epoch': 0.15}
{'loss': 0.3945, 'grad_norm': 0.0625125914812088, 'learning_rate': 0.0002, 'epoch': 0.16}
{'loss': 0.2986, 'grad_norm': 0.05650890991091728, 'learning_rate': 0.0002, 'epoch': 0.16}
{'loss': 0.5648, 'grad_norm': 0.06643573939800262, 'learning_rate': 0.0002, 'epoch': 0.17}
{'loss': 0.4782, 'grad_norm': 0.06672564893960953, 'learning_rate': 0.0002, 'epoch': 0.18}
{'loss': 0.404, 'grad_norm': 0.07881274074316025, 'learning_rate': 0.0002, 'epoch': 0.18}
{'loss': 0.369, 'grad_norm': 0.060506176203489304, 'learning_rate': 0.0002, 'epoch': 0.19}
{'loss': 0.3093, 'grad_norm': 0.058539923280477524, 'learning_rate': 0.0002, 'epoch': 0.2}
{'loss': 0.5511, 'grad_norm': 0.06884198635816574, 'learning_rate': 0.0002, 'epoch': 0.2}
{'loss': 0.4314, 'grad_norm': 0.07357142120599747, 'learning_rate': 0.0002, 'epoch': 0.21}
{'loss': 0.4019, 'grad_norm': 0.07695996016263962, 'learning_rate': 0.0002, 'epoch': 0.22}
{'loss': 0.3648, 'grad_norm': 0.07451878488063812, 'learning_rate': 0.0002, 'epoch': 0.22}
{'loss': 0.2793, 'grad_norm': 0.0585053525865078, 'learning_rate': 0.0002, 'epoch': 0.23}
{'loss': 0.5559, 'grad_norm': 0.0747310146689415, 'learning_rate': 0.0002, 'epoch': 0.24}
{'loss': 0.4785, 'grad_norm': 0.06907455623149872, 'learning_rate': 0.0002, 'epoch': 0.24}
{'loss': 0.3714, 'grad_norm': 0.05617951229214668, 'learning_rate': 0.0002, 'epoch': 0.25}
{'loss': 0.3511, 'grad_norm': 0.07198965549468994, 'learning_rate': 0.0002, 'epoch': 0.26}
{'loss': 0.3104, 'grad_norm': 0.05625104159116745, 'learning_rate': 0.0002, 'epoch': 0.26}
{'loss': 0.5704, 'grad_norm': 0.07344171404838562, 'learning_rate': 0.0002, 'epoch': 0.27}
{'loss': 0.4513, 'grad_norm': 0.062099356204271317, 'learning_rate': 0.0002, 'epoch': 0.28}
{'loss': 0.4066, 'grad_norm': 0.08159548789262772, 'learning_rate': 0.0002, 'epoch': 0.28}
{'loss': 0.387, 'grad_norm': 0.06760714948177338, 'learning_rate': 0.0002, 'epoch': 0.29}
{'loss': 0.2729, 'grad_norm': 0.060753561556339264, 'learning_rate': 0.0002, 'epoch': 0.3}
{'loss': 0.5229, 'grad_norm': 0.05994754284620285, 'learning_rate': 0.0002, 'epoch': 0.3}
{'loss': 0.4391, 'grad_norm': 0.06522213667631149, 'learning_rate': 0.0002, 'epoch': 0.31}
{'loss': 0.3972, 'grad_norm': 0.0860513225197792, 'learning_rate': 0.0002, 'epoch': 0.32}
{'loss': 0.3541, 'grad_norm': 0.06781899929046631, 'learning_rate': 0.0002, 'epoch': 0.32}
{'loss': 0.3265, 'grad_norm': 0.07921978086233139, 'learning_rate': 0.0002, 'epoch': 0.33}
